method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
exact_cost,0,300,61,30.016,True,exact,25,5,15,16,25,0
exact_cost,1,300,108,30.417,True,exact,37,9,26,36,37,0
exact_cost,2,300,88,30.404,True,exact,32,3,26,27,32,0
exact_cost,3,300,67,30.078,True,exact,25,4,17,21,25,0
exact_cost,4,300,69,30.163,True,exact,26,1,22,20,26,0
exact_cost,5,300,81,30.466,True,exact,31,4,20,26,31,0
exact_cost,6,300,86,30.08,True,exact,33,5,19,29,33,0
exact_cost,7,300,58,30.001,True,exact,25,3,15,15,25,0
exact_cost,8,300,69,30.142,True,exact,25,5,23,16,25,0
exact_cost,9,300,92,30.635,True,exact,35,6,30,21,35,0
exact_cost,10,300,93,30.172,True,exact,37,4,29,23,37,0
exact_cost,11,300,62,30.207,True,exact,24,2,17,19,24,0
exact_cost,12,300,79,30.548,True,exact,27,5,30,17,27,0
exact_cost,13,300,63,30.375,True,exact,23,6,18,16,23,0
exact_cost,14,300,72,30.653,True,exact,25,4,24,19,25,0
exact_cost,15,300,52,30.333,True,exact,22,2,16,12,22,0
exact_cost,16,300,61,30.077,True,exact,23,1,23,14,23,0
exact_cost,17,300,84,30.482,True,exact,31,7,27,19,31,0
exact_cost,18,300,74,30.378,True,exact,26,8,23,17,26,0
exact_cost,19,300,57,30.059,True,exact,19,4,16,18,19,0
exact_cost,20,300,71,30.259,True,exact,28,4,24,15,28,0
exact_cost,21,300,70,30.3,True,exact,27,3,28,12,27,0
exact_cost,22,300,66,30.36,True,exact,28,2,16,20,28,0
exact_cost,23,300,51,30.339,True,exact,21,3,13,14,21,0
exact_cost,24,300,67,30.643,True,exact,23,4,20,20,23,0
exact_cost,25,300,61,30.272,True,exact,26,4,14,17,26,0
exact_cost,26,300,75,30.285,True,exact,25,6,23,21,25,0
exact_cost,27,300,71,30.332,True,exact,26,3,24,18,26,0
exact_cost,28,300,75,30.309,True,exact,30,6,14,25,30,0
exact_cost,29,300,56,30.344,True,exact,21,2,18,15,21,0
exact_cost,30,300,85,30.505,True,exact,34,4,24,23,34,0
exact_cost,31,300,74,30.384,True,exact,29,5,21,19,29,0
exact_cost,32,300,73,30.227,True,exact,27,5,23,18,27,0
exact_cost,33,300,89,30.48,True,exact,38,5,15,31,38,0
exact_cost,34,300,65,30.249,True,exact,24,3,20,18,24,0
exact_cost,35,300,81,30.229,True,exact,29,6,21,25,29,0
exact_cost,36,300,69,30.023,True,exact,26,5,16,22,26,0
exact_cost,37,300,56,30.259,True,exact,21,3,16,16,21,0
exact_cost,38,300,76,30.303,True,exact,27,4,21,24,27,0
exact_cost,39,300,69,30.02,True,exact,27,2,22,18,27,0
exact_cost,40,300,77,30.169,True,exact,28,4,22,23,28,0
exact_cost,41,300,82,30.434,True,exact,28,8,23,23,28,0
exact_cost,42,300,82,30.257,True,exact,32,3,27,20,32,0
exact_cost,43,300,82,30.074,True,exact,32,3,19,28,32,0
exact_cost,44,300,68,30.423,True,exact,27,4,25,12,27,0
exact_cost,45,300,83,30.202,True,exact,30,5,24,24,30,0
exact_cost,46,300,80,30.181,True,exact,32,2,19,27,32,0
exact_cost,47,300,97,30.247,True,exact,37,4,31,25,37,0
exact_cost,48,300,48,30.203,True,exact,17,2,16,13,17,0
exact_cost,49,300,75,30.195,True,exact,29,2,23,21,29,0
exact_cost,50,300,101,30.219,True,exact,41,4,29,27,41,0
exact_cost,51,300,68,30.121,True,exact,26,6,12,24,26,0
exact_cost,52,300,75,30.229,True,exact,29,9,23,14,29,0
exact_cost,53,300,55,30.233,True,exact,23,3,13,16,23,0
exact_cost,54,300,49,30.098,True,exact,20,2,11,16,20,0
exact_cost,55,300,45,30.046,True,exact,17,3,12,13,17,0
exact_cost,56,300,66,30.172,True,exact,27,2,13,24,27,0
exact_cost,57,300,65,30.152,True,exact,24,4,18,19,24,0
exact_cost,58,300,73,30.028,True,exact,29,3,22,19,29,0
exact_cost,59,300,82,30.192,True,exact,32,2,20,28,32,0
exact_cost,60,300,73,30.002,True,exact,28,4,22,19,28,0
exact_cost,61,300,69,30.127,True,exact,26,5,22,16,26,0
exact_cost,62,300,62,30.048,True,exact,24,4,17,17,24,0
exact_cost,63,300,90,30.031,True,exact,37,3,24,26,37,0
exact_cost,64,300,59,30.129,True,exact,25,2,15,17,25,0
exact_cost,65,300,81,30.187,True,exact,30,6,21,24,30,0
exact_cost,66,300,66,30.135,True,exact,24,3,14,25,24,0
exact_cost,67,300,65,30.393,True,exact,26,5,22,12,26,0
exact_cost,68,300,71,30.236,True,exact,29,1,21,20,29,0
exact_cost,69,300,81,30.134,True,exact,29,5,24,23,29,0
exact_cost,70,300,70,30.238,True,exact,28,2,20,20,28,0
exact_cost,71,300,68,30.369,True,exact,26,3,18,21,26,0
exact_cost,72,300,69,30.226,True,exact,23,5,21,20,23,0
exact_cost,73,300,64,30.275,True,exact,23,7,14,20,23,0
exact_cost,74,300,64,30.341,True,exact,26,3,13,22,26,0
exact_cost,75,300,83,30.189,True,exact,31,5,18,29,31,0
exact_cost,76,300,62,30.268,True,exact,23,1,22,16,23,0
exact_cost,77,300,74,30.385,True,exact,30,4,17,23,30,0
exact_cost,78,300,66,30.271,True,exact,25,4,24,13,25,0
exact_cost,79,300,81,30.037,True,exact,30,4,24,23,30,0
exact_cost,80,300,74,30.072,True,exact,28,5,19,22,28,0
exact_cost,81,300,62,30.391,True,exact,23,4,14,21,23,0
exact_cost,82,300,82,30.325,True,exact,31,4,22,25,31,0
exact_cost,83,300,63,30.303,True,exact,25,3,20,15,25,0
exact_cost,84,300,62,30.323,True,exact,23,4,15,20,23,0
exact_cost,85,300,81,30.158,True,exact,30,6,25,20,30,0
exact_cost,86,300,75,30.201,True,exact,30,4,23,18,30,0
exact_cost,87,300,70,30.035,True,exact,28,3,16,23,28,0
exact_cost,88,300,93,30.175,True,exact,31,5,33,24,31,0
exact_cost,89,300,61,30.15,True,exact,25,6,15,15,25,0
exact_cost,90,300,50,30.192,True,exact,18,3,12,17,18,0
exact_cost,91,300,83,30.182,True,exact,29,8,18,28,29,0
exact_cost,92,300,73,30.098,True,exact,26,4,21,22,26,0
exact_cost,93,300,77,30.082,True,exact,31,3,23,20,31,0
exact_cost,94,300,78,30.14,True,exact,28,4,24,22,28,0
exact_cost,95,300,68,30.273,True,exact,28,2,17,21,28,0
exact_cost,96,300,51,30.308,True,exact,19,5,16,11,19,0
exact_cost,97,300,65,30.271,True,exact,26,3,18,18,26,0
exact_cost,98,300,66,30.355,True,exact,22,4,20,20,22,0
exact_cost,99,300,79,30.079,True,exact,31,4,25,19,31,0
exact_len,0,300,85,30.093,True,exact,35,4,24,22,35,0
exact_len,1,300,87,30.037,True,exact,36,8,13,30,36,0
exact_len,2,300,87,30.023,True,exact,39,0,23,25,39,0
