method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
numeric_cost,0,300,163,15.719,True,numeric-1e-5,54,72,0,37,0,54
numeric_cost,1,300,181,15.773,True,numeric-1e-5,54,76,0,51,0,54
numeric_cost,2,300,185,16.468,True,numeric-1e-5,55,81,0,49,0,55
numeric_cost,3,300,161,18.09,True,numeric-1e-5,46,68,0,47,0,46
numeric_cost,4,300,164,15.236,True,numeric-1e-5,58,68,0,38,0,58
numeric_cost,5,300,163,15.774,True,numeric-1e-5,54,65,0,44,0,54
numeric_cost,6,300,150,15.48,True,numeric-1e-5,50,62,0,38,0,50
numeric_cost,7,300,142,16.571,True,numeric-1e-5,45,57,0,40,0,45
numeric_cost,8,300,167,15.408,True,numeric-1e-5,52,66,0,49,0,52
numeric_cost,9,300,145,15.635,True,numeric-1e-5,39,65,0,41,0,39
numeric_cost,10,300,165,15.537,True,numeric-1e-5,50,71,0,44,0,50
numeric_cost,11,300,169,17.831,True,numeric-1e-5,56,68,0,45,0,56
numeric_cost,12,300,137,16.613,True,numeric-1e-5,41,57,0,39,0,41
numeric_cost,13,300,300,15.723,True,numeric-1e-5,79,116,0,105,0,79
numeric_cost,14,300,157,16.545,True,numeric-1e-5,47,66,0,44,0,47
numeric_cost,15,300,181,17.917,True,numeric-1e-5,60,71,0,50,0,60
numeric_cost,16,300,155,15.724,True,numeric-1e-5,49,66,0,40,0,49
numeric_cost,17,300,157,15.754,True,numeric-1e-5,57,65,0,35,0,57
numeric_cost,18,300,151,15.266,True,numeric-1e-5,47,64,0,40,0,47
numeric_cost,19,300,169,15.763,True,numeric-1e-5,43,71,0,55,0,43
numeric_cost,20,300,155,15.329,True,numeric-1e-5,47,67,0,41,0,47
numeric_cost,21,300,176,15.286,True,numeric-1e-5,52,80,0,44,0,52
numeric_cost,22,300,157,16.068,True,numeric-1e-5,61,59,0,37,0,61
numeric_cost,23,300,159,15.747,True,numeric-1e-5,49,63,0,47,0,49
numeric_cost,24,300,182,15.964,True,numeric-1e-5,62,69,0,51,0,62
numeric_cost,25,300,201,15.404,True,numeric-1e-5,58,84,0,59,0,58
numeric_cost,26,300,177,16.036,True,numeric-1e-5,58,71,0,48,0,58
numeric_cost,27,300,163,15.582,True,numeric-1e-5,53,71,0,39,0,53
numeric_cost,28,300,194,15.929,True,numeric-1e-5,53,86,0,55,0,53
numeric_cost,29,300,148,15.172,True,numeric-1e-5,44,65,0,39,0,44
numeric_cost,30,300,175,17.475,True,numeric-1e-5,52,71,0,52,0,52
