method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
bqskit_l2,0,300,188,0.0,True,bqskit-1e-5,45,60,0,83,45,0
bqskit_l2,1,300,163,0.0,True,bqskit-1e-5,42,50,0,71,42,0
bqskit_l2,2,300,190,0.0,True,bqskit-1e-5,42,62,0,86,42,0
bqskit_l2,3,300,143,0.0,True,bqskit-1e-5,32,43,0,68,32,0
bqskit_l2,4,300,193,0.0,True,bqskit-1e-5,46,61,0,86,46,0
bqskit_l2,5,300,163,0.0,True,bqskit-1e-5,38,57,0,68,38,0
bqskit_l2,6,300,171,0.0,True,bqskit-1e-5,39,60,0,72,39,0
bqskit_l2,7,300,131,0.0,True,bqskit-1e-5,28,45,0,58,28,0
bqskit_l2,8,300,159,0.0,True,bqskit-1e-5,39,55,0,65,39,0
bqskit_l2,9,300,195,0.0,True,bqskit-1e-5,47,64,0,84,47,0
bqskit_l2,10,300,175,0.0,True,bqskit-1e-5,39,55,0,81,39,0
bqskit_l2,11,300,123,0.0,True,bqskit-1e-5,30,37,0,56,30,0
bqskit_l2,12,300,165,0.0,True,bqskit-1e-5,34,53,0,78,34,0
bqskit_l2,13,300,165,0.0,True,bqskit-1e-5,40,55,0,70,40,0
bqskit_l2,14,300,136,0.0,False,bqskit-1e-5,32,42,0,62,32,0
bqskit_l2,15,300,165,0.0,True,bqskit-1e-5,40,52,0,73,40,0
bqskit_l2,16,300,110,0.0,True,bqskit-1e-5,25,37,0,48,25,0
bqskit_l2,17,300,176,0.0,True,bqskit-1e-5,42,59,0,75,42,0
bqskit_l2,18,300,161,0.0,True,bqskit-1e-5,35,53,0,73,35,0
bqskit_l2,19,300,130,0.0,True,bqskit-1e-5,31,40,0,59,31,0
bqskit_l2,20,300,158,0.0,True,bqskit-1e-5,39,48,0,71,39,0
bqskit_l2,21,300,173,0.0,True,bqskit-1e-5,42,53,0,78,42,0
bqskit_l2,22,300,133,0.0,True,bqskit-1e-5,31,44,0,58,31,0
bqskit_l2,23,300,151,0.0,True,bqskit-1e-5,37,48,0,66,37,0
bqskit_l2,24,300,156,0.0,True,bqskit-1e-5,40,49,0,67,40,0
bqskit_l2,25,300,151,0.0,True,bqskit-1e-5,34,47,0,70,34,0
bqskit_l2,26,300,108,0.0,True,bqskit-1e-5,28,35,0,45,28,0
bqskit_l2,27,300,168,0.0,True,bqskit-1e-5,38,56,0,74,38,0
bqskit_l2,28,300,140,0.0,True,bqskit-1e-5,36,41,0,63,36,0
bqskit_l2,29,300,114,0.0,True,bqskit-1e-5,28,30,0,56,28,0
bqskit_l3,0,300,163,0.0,True,bqskit-1e-5,41,56,0,66,41,0
bqskit_l3,1,300,142,0.0,True,bqskit-1e-5,34,48,0,60,34,0
bqskit_l3,2,300,158,0.0,True,bqskit-1e-5,36,56,0,66,36,0
bqskit_l3,3,300,127,0.0,True,bqskit-1e-5,30,39,0,58,30,0
bqskit_l3,4,300,166,0.0,True,bqskit-1e-5,35,51,0,80,35,0
bqskit_l3,5,300,169,0.0,True,bqskit-1e-5,37,54,0,78,37,0
bqskit_l3,6,300,143,0.0,True,bqskit-1e-5,33,48,0,62,33,0
bqskit_l3,7,300,103,0.0,True,bqskit-1e-5,22,35,0,46,22,0
bqskit_l3,8,300,116,0.0,True,bqskit-1e-5,29,37,0,50,29,0
bqskit_l3,9,300,171,0.0,True,bqskit-1e-5,42,59,0,70,42,0
bqskit_l3,10,300,187,0.0,True,bqskit-1e-5,42,61,0,84,42,0
bqskit_l3,11,300,120,0.0,True,bqskit-1e-5,27,40,0,53,27,0
bqskit_l3,12,300,130,0.0,True,bqskit-1e-5,26,42,0,62,26,0
bqskit_l3,13,300,129,0.0,True,bqskit-1e-5,30,40,0,59,30,0
bqskit_l3,14,300,125,0.0,True,bqskit-1e-5,28,38,0,59,28,0
bqskit_l3,15,300,135,0.0,True,bqskit-1e-5,32,44,0,59,32,0
bqskit_l3,16,300,122,0.0,True,bqskit-1e-5,24,40,0,58,24,0
bqskit_l3,17,300,124,0.0,True,bqskit-1e-5,28,39,0,57,28,0
bqskit_l3,18,300,113,0.0,False,bqskit-1e-5,24,37,0,52,24,0
bqskit_l3,19,300,121,0.0,True,bqskit-1e-5,28,36,0,57,28,0
bqskit_l3,20,300,138,0.0,True,bqskit-1e-5,31,46,0,61,31,0
bqskit_l3,21,300,114,0.0,True,bqskit-1e-5,30,33,0,51,30,0
bqskit_l3,22,300,122,0.0,True,bqskit-1e-5,27,42,0,53,27,0
bqskit_l3,23,300,134,0.0,True,bqskit-1e-5,29,42,0,63,29,0
bqskit_l3,24,300,125,0.0,True,bqskit-1e-5,26,42,0,57,26,0
bqskit_l3,25,300,112,0.0,True,bqskit-1e-5,26,36,0,50,26,0
bqskit_l3,26,300,110,0.0,True,bqskit-1e-5,26,33,0,51,26,0
bqskit_l3,27,300,144,0.0,True,bqskit-1e-5,34,44,0,66,34,0
bqskit_l3,28,300,127,0.0,True,bqskit-1e-5,28,42,0,57,28,0
bqskit_l3,29,300,101,0.0,True,bqskit-1e-5,23,34,0,44,23,0
bqskit_l4,0,300,165,0.0,False,bqskit-1e-5,39,54,0,72,39,0
bqskit_l4,1,300,135,0.0,False,bqskit-1e-5,29,41,0,65,29,0
bqskit_l4,2,300,147,0.0,False,bqskit-1e-5,31,49,0,67,31,0
bqskit_l4,3,300,150,0.0,False,bqskit-1e-5,31,47,0,72,31,0
