method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
bqskit_l2,0,300,240,0.0,True,bqskit-1e-5,74,73,0,93,0,74
bqskit_l2,1,300,221,0.0,True,bqskit-1e-5,69,70,0,82,0,69
bqskit_l2,2,300,239,0.0,True,bqskit-1e-5,64,80,0,95,0,64
bqskit_l2,3,300,256,0.0,True,bqskit-1e-5,56,84,0,116,0,56
bqskit_l2,4,300,259,0.0,True,bqskit-1e-5,69,81,0,109,0,69
bqskit_l2,5,300,242,0.0,True,bqskit-1e-5,70,77,0,95,0,70
bqskit_l2,6,300,224,0.0,True,bqskit-1e-5,61,68,0,95,0,61
bqskit_l2,7,300,226,0.0,True,bqskit-1e-5,66,68,0,92,0,66
bqskit_l2,8,300,258,0.0,True,bqskit-1e-5,64,83,0,111,0,64
bqskit_l2,9,300,202,0.0,True,bqskit-1e-5,56,70,0,76,0,56
bqskit_l2,10,300,210,0.0,True,bqskit-1e-5,63,65,0,82,0,63
bqskit_l2,11,300,214,0.0,True,bqskit-1e-5,74,66,0,74,0,74
bqskit_l2,12,300,196,0.0,True,bqskit-1e-5,50,62,0,84,0,50
bqskit_l2,13,300,213,0.0,True,bqskit-1e-5,73,65,0,75,0,73
bqskit_l2,14,300,238,0.0,True,bqskit-1e-5,61,79,0,98,0,61
bqskit_l2,15,300,237,0.0,True,bqskit-1e-5,71,72,0,94,0,71
bqskit_l2,16,300,230,0.0,True,bqskit-1e-5,69,71,0,90,0,69
bqskit_l2,17,300,240,0.0,True,bqskit-1e-5,88,70,0,82,0,88
bqskit_l2,18,300,202,0.0,True,bqskit-1e-5,59,66,0,77,0,59
bqskit_l2,19,300,205,0.0,True,bqskit-1e-5,53,66,0,86,0,53
bqskit_l2,20,300,197,0.0,True,bqskit-1e-5,55,64,0,78,0,55
bqskit_l2,21,300,258,0.0,True,bqskit-1e-5,69,87,0,102,0,69
bqskit_l2,22,300,224,0.0,True,bqskit-1e-5,64,69,0,91,0,64
bqskit_l2,23,300,207,0.0,True,bqskit-1e-5,55,63,0,89,0,55
bqskit_l2,24,300,255,0.0,True,bqskit-1e-5,72,82,0,101,0,72
bqskit_l2,25,300,243,0.0,True,bqskit-1e-5,68,75,0,100,0,68
bqskit_l2,26,300,229,0.0,True,bqskit-1e-5,72,72,0,85,0,72
bqskit_l2,27,300,253,0.0,True,bqskit-1e-5,67,80,0,106,0,67
bqskit_l2,28,300,213,0.0,True,bqskit-1e-5,73,71,0,69,0,73
bqskit_l2,29,300,195,0.0,True,bqskit-1e-5,51,65,0,79,0,51
bqskit_l3,0,300,251,0.0,True,bqskit-1e-5,63,79,0,109,0,63
bqskit_l3,1,300,213,0.0,True,bqskit-1e-5,53,73,0,87,0,53
bqskit_l3,2,300,216,0.0,True,bqskit-1e-5,54,72,0,90,0,54
bqskit_l3,3,300,174,0.0,True,bqskit-1e-5,38,57,0,79,0,38
bqskit_l3,4,300,219,0.0,True,bqskit-1e-5,53,70,0,96,0,53
bqskit_l3,5,300,186,0.0,True,bqskit-1e-5,46,63,0,77,0,46
bqskit_l3,6,300,203,0.0,True,bqskit-1e-5,48,65,0,90,0,48
bqskit_l3,7,300,193,0.0,True,bqskit-1e-5,45,61,0,87,0,45
bqskit_l3,8,300,239,0.0,True,bqskit-1e-5,52,80,0,107,0,52
bqskit_l3,9,300,176,0.0,True,bqskit-1e-5,37,62,0,77,0,37
bqskit_l3,10,300,200,0.0,True,bqskit-1e-5,44,68,0,88,0,44
bqskit_l3,11,300,211,0.0,True,bqskit-1e-5,61,67,0,83,0,61
bqskit_l3,12,300,153,0.0,True,bqskit-1e-5,40,51,0,62,0,40
bqskit_l3,13,300,215,0.0,True,bqskit-1e-5,48,67,0,100,0,48
bqskit_l3,14,300,203,0.0,True,bqskit-1e-5,42,66,0,95,0,42
bqskit_l3,15,300,192,0.0,True,bqskit-1e-5,55,64,0,73,0,55
bqskit_l3,16,300,235,0.0,True,bqskit-1e-5,55,76,0,104,0,55
bqskit_l3,17,300,233,0.0,False,bqskit-1e-5,59,78,0,96,0,59
bqskit_l3,18,300,220,0.0,True,bqskit-1e-5,52,75,0,93,0,52
bqskit_l3,19,300,203,0.0,True,bqskit-1e-5,43,68,0,92,0,43
bqskit_l3,20,300,209,0.0,True,bqskit-1e-5,49,69,0,91,0,49
bqskit_l3,21,300,227,0.0,True,bqskit-1e-5,58,77,0,92,0,58
bqskit_l3,22,300,223,0.0,True,bqskit-1e-5,57,75,0,91,0,57
bqskit_l3,23,300,184,0.0,True,bqskit-1e-5,39,60,0,85,0,39
bqskit_l3,24,300,257,0.0,True,bqskit-1e-5,57,80,0,120,0,57
bqskit_l3,25,300,224,0.0,True,bqskit-1e-5,50,75,0,99,0,50
bqskit_l3,26,300,241,0.0,True,bqskit-1e-5,59,81,0,101,0,59
bqskit_l3,27,300,233,0.0,True,bqskit-1e-5,55,83,0,95,0,55
bqskit_l3,28,300,230,0.0,True,bqskit-1e-5,57,80,0,93,0,57
bqskit_l3,29,300,180,0.0,True,bqskit-1e-5,40,59,0,81,0,40
numeric_cost,0,300,157,61.326,True,numeric-1e-5,54,69,0,34,0,54
numeric_cost,1,300,171,61.347,True,numeric-1e-5,53,76,0,42,0,53
numeric_cost,2,300,181,61.065,True,numeric-1e-5,55,79,0,47,0,55
numeric_cost,3,300,154,60.849,True,numeric-1e-5,44,65,0,45,0,44
numeric_cost,4,300,156,60.651,True,numeric-1e-5,56,66,0,34,0,56
numeric_cost,5,300,151,61.348,True,numeric-1e-5,54,64,0,33,0,54
numeric_cost,6,300,140,60.607,True,numeric-1e-5,48,60,0,32,0,48
numeric_cost,7,300,128,60.665,True,numeric-1e-5,42,54,0,32,0,42
numeric_cost,8,300,157,61.65,True,numeric-1e-5,52,63,0,42,0,52
numeric_cost,9,300,134,60.593,True,numeric-1e-5,40,59,0,35,0,40
numeric_cost,10,300,150,60.484,True,numeric-1e-5,48,64,0,38,0,48
numeric_cost,11,300,164,60.796,True,numeric-1e-5,57,70,0,37,0,57
numeric_cost,12,300,124,60.347,True,numeric-1e-5,40,55,0,29,0,40
numeric_cost,13,300,157,60.55,True,numeric-1e-5,50,69,0,38,0,50
numeric_cost,14,300,153,60.494,True,numeric-1e-5,47,70,0,36,0,47
numeric_cost,15,300,168,60.545,True,numeric-1e-5,55,70,0,43,0,55
numeric_cost,16,300,151,60.507,True,numeric-1e-5,49,65,0,37,0,49
numeric_cost,17,300,154,60.531,True,numeric-1e-5,55,64,0,35,0,55
numeric_cost,18,300,142,60.734,True,numeric-1e-5,47,58,0,37,0,47
numeric_cost,19,300,164,60.487,True,numeric-1e-5,45,68,0,51,0,45
numeric_cost,20,300,146,60.544,True,numeric-1e-5,48,62,0,36,0,48
numeric_cost,21,300,165,60.559,True,numeric-1e-5,53,77,0,35,0,53
numeric_cost,22,300,155,60.52,True,numeric-1e-5,59,57,0,39,0,59
numeric_cost,23,300,151,60.527,True,numeric-1e-5,48,64,0,39,0,48
numeric_cost,24,300,175,60.648,True,numeric-1e-5,62,74,0,39,0,62
numeric_cost,25,300,190,60.617,True,numeric-1e-5,58,85,0,47,0,58
numeric_cost,26,300,173,60.853,True,numeric-1e-5,59,72,0,42,0,59
numeric_cost,27,300,154,60.431,True,numeric-1e-5,51,68,0,35,0,51
numeric_cost,28,300,178,60.566,True,numeric-1e-5,50,82,0,46,0,50
