method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
bqskit_l2,0,300,230,0.0,True,bqskit-1e-5,73,64,0,93,0,73
bqskit_l2,1,300,223,0.0,True,bqskit-1e-5,69,72,0,82,0,69
bqskit_l2,2,300,241,0.0,True,bqskit-1e-5,64,79,0,98,0,64
bqskit_l2,3,300,193,0.0,True,bqskit-1e-5,52,59,0,82,0,52
bqskit_l2,4,300,243,0.0,True,bqskit-1e-5,70,73,0,100,0,70
bqskit_l2,5,300,245,0.0,True,bqskit-1e-5,69,82,0,94,0,69
bqskit_l2,6,300,219,0.0,True,bqskit-1e-5,61,63,0,95,0,61
bqskit_l2,7,300,229,0.0,True,bqskit-1e-5,68,70,0,91,0,68
bqskit_l2,8,300,259,0.0,True,bqskit-1e-5,66,83,0,110,0,66
bqskit_l2,9,300,206,0.0,True,bqskit-1e-5,56,68,0,82,0,56
bqskit_l3,0,300,243,0.0,True,bqskit-1e-5,62,77,0,104,0,62
bqskit_l3,1,300,235,0.0,True,bqskit-1e-5,55,80,0,100,0,55
bqskit_l3,2,300,237,0.0,True,bqskit-1e-5,53,79,0,105,0,53
bqskit_l3,3,300,174,0.0,False,bqskit-1e-5,38,61,0,75,0,38
bqskit_l3,4,300,205,0.0,True,bqskit-1e-5,48,69,0,88,0,48
bqskit_l3,5,300,204,0.0,True,bqskit-1e-5,47,65,0,92,0,47
bqskit_l3,6,300,214,0.0,True,bqskit-1e-5,47,66,0,101,0,47
bqskit_l3,7,300,224,0.0,True,bqskit-1e-5,47,74,0,103,0,47
bqskit_l3,8,300,246,0.0,True,bqskit-1e-5,56,80,0,110,0,56
bqskit_l3,9,300,175,0.0,True,bqskit-1e-5,39,60,0,76,0,39
numeric_cost,0,300,162,61.216,True,numeric-1e-5,54,72,0,36,0,54
numeric_cost,1,300,180,62.077,True,numeric-1e-5,54,76,0,50,0,54
numeric_cost,2,300,183,60.691,True,numeric-1e-5,55,79,0,49,0,55
numeric_cost,3,300,165,60.654,True,numeric-1e-5,47,70,0,48,0,47
numeric_cost,4,300,159,60.767,True,numeric-1e-5,57,66,0,36,0,57
numeric_cost,5,300,163,62.864,True,numeric-1e-5,54,65,0,44,0,54
numeric_cost,6,300,147,60.956,True,numeric-1e-5,51,60,0,36,0,51
numeric_cost,7,300,135,60.11,True,numeric-1e-5,44,56,0,35,0,44
numeric_cost,8,300,161,60.135,True,numeric-1e-5,52,63,0,46,0,52
numeric_cost,9,300,136,60.477,True,numeric-1e-5,39,58,0,39,0,39
numeric_len,0,300,162,60.191,True,numeric-1e-5,55,71,0,36,0,55
numeric_len,1,300,177,60.339,True,numeric-1e-5,54,75,0,48,0,54
numeric_len,2,300,179,60.294,True,numeric-1e-5,53,77,0,49,0,53
numeric_len,3,300,156,60.341,True,numeric-1e-5,43,66,0,47,0,43
numeric_len,4,300,158,60.948,True,numeric-1e-5,57,66,0,35,0,57
