method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
numeric_cost,0,300,157,60.438,True,numeric-1e-5,54,69,0,34,0,54
numeric_cost,1,300,174,60.526,True,numeric-1e-5,53,71,0,50,0,53
numeric_cost,2,300,185,61.592,True,numeric-1e-5,54,81,0,50,0,54
numeric_cost,3,300,157,60.209,True,numeric-1e-5,42,68,0,47,0,42
numeric_cost,4,300,156,63.34,True,numeric-1e-5,55,65,0,36,0,55
numeric_cost,5,300,157,61.758,True,numeric-1e-5,49,66,0,42,0,49
numeric_cost,6,300,148,63.81,True,numeric-1e-5,49,61,0,38,0,49
numeric_cost,7,300,141,60.276,True,numeric-1e-5,45,60,0,36,0,45
numeric_cost,8,300,155,60.485,True,numeric-1e-5,50,63,0,42,0,50
numeric_cost,9,300,144,60.492,True,numeric-1e-5,39,64,0,41,0,39
numeric_cost,10,300,148,61.906,True,numeric-1e-5,47,61,0,40,0,47
numeric_cost,11,300,165,60.418,True,numeric-1e-5,52,72,0,41,0,52
numeric_cost,12,300,129,63.427,True,numeric-1e-5,40,56,0,33,0,40
numeric_cost,13,300,162,60.577,True,numeric-1e-5,47,73,0,42,0,47
numeric_cost,14,300,152,60.563,True,numeric-1e-5,45,64,0,43,0,45
numeric_cost,15,300,167,63.922,True,numeric-1e-5,55,67,0,45,0,55
numeric_cost,16,300,152,60.476,True,numeric-1e-5,47,65,0,40,0,47
numeric_cost,17,300,151,60.273,True,numeric-1e-5,57,61,0,33,0,57
numeric_cost,18,300,147,61.851,True,numeric-1e-5,47,60,0,40,0,47
numeric_cost,19,300,165,60.474,True,numeric-1e-5,43,69,0,53,0,43
numeric_cost,20,300,153,60.394,True,numeric-1e-5,46,66,0,41,0,46
numeric_cost,21,300,167,64.971,True,numeric-1e-5,52,75,0,40,0,52
numeric_cost,22,300,155,63.473,True,numeric-1e-5,58,57,0,40,0,58
numeric_cost,23,300,152,62.877,True,numeric-1e-5,44,63,0,45,0,44
numeric_cost,24,300,175,61.384,True,numeric-1e-5,58,72,0,45,0,58
numeric_cost,25,300,193,61.632,True,numeric-1e-5,55,84,0,54,0,55
numeric_cost,26,300,172,61.894,True,numeric-1e-5,57,70,0,45,0,57
numeric_cost,27,300,160,62.075,True,numeric-1e-5,50,70,0,40,0,50
numeric_cost,28,300,180,60.31,True,numeric-1e-5,48,83,0,49,0,48
numeric_cost,29,300,139,60.796,True,numeric-1e-5,43,61,0,35,0,43
numeric_cost,30,300,166,60.239,True,numeric-1e-5,49,68,0,49,0,49
numeric_cost,31,300,157,62.078,True,numeric-1e-5,55,70,0,32,0,55
numeric_cost,32,300,154,60.448,True,numeric-1e-5,47,69,0,38,0,47
numeric_cost,33,300,159,61.948,True,numeric-1e-5,46,70,0,43,0,46
numeric_cost,34,300,158,60.876,True,numeric-1e-5,54,69,0,35,0,54
numeric_cost,35,300,152,62.027,True,numeric-1e-5,42,71,0,39,0,42
numeric_cost,36,300,160,60.36,True,numeric-1e-5,49,68,0,43,0,49
numeric_cost,37,300,166,60.797,True,numeric-1e-5,44,71,0,51,0,44
numeric_cost,38,300,163,60.261,True,numeric-1e-5,43,75,0,45,0,43
numeric_cost,39,300,182,63.337,True,numeric-1e-5,61,80,0,41,0,61
numeric_cost,40,300,153,60.659,True,numeric-1e-5,45,68,0,40,0,45
numeric_cost,41,300,157,60.443,True,numeric-1e-5,55,65,0,37,0,55
numeric_cost,42,300,164,60.985,True,numeric-1e-5,50,73,0,41,0,50
numeric_cost,43,300,121,61.822,True,numeric-1e-5,32,57,0,32,0,32
numeric_cost,44,300,152,61.012,True,numeric-1e-5,39,70,0,43,0,39
numeric_cost,45,300,140,60.108,True,numeric-1e-5,46,59,0,35,0,46
numeric_cost,46,300,172,60.584,True,numeric-1e-5,51,73,0,48,0,51
numeric_cost,47,300,162,60.33,True,numeric-1e-5,54,66,0,42,0,54
numeric_cost,48,300,166,60.094,True,numeric-1e-5,54,69,0,43,0,54
numeric_cost,49,300,134,61.391,True,numeric-1e-5,39,63,0,32,0,39
numeric_cost,50,300,140,63.398,True,numeric-1e-5,42,62,0,36,0,42
numeric_cost,51,300,155,61.97,True,numeric-1e-5,52,63,0,40,0,52
numeric_cost,52,300,160,60.585,True,numeric-1e-5,46,71,0,43,0,46
numeric_cost,53,300,152,60.247,True,numeric-1e-5,45,63,0,44,0,45
numeric_cost,54,300,139,60.254,True,numeric-1e-5,41,61,0,37,0,41
numeric_cost,55,300,146,60.684,True,numeric-1e-5,47,59,0,40,0,47
numeric_cost,56,300,156,61.182,True,numeric-1e-5,48,65,0,43,0,48
numeric_cost,57,300,157,61.753,True,numeric-1e-5,47,70,0,40,0,47
numeric_cost,58,300,183,60.113,True,numeric-1e-5,56,76,0,51,0,56
numeric_cost,59,300,157,61.734,True,numeric-1e-5,51,68,0,38,0,51
numeric_cost,60,300,156,60.535,True,numeric-1e-5,45,66,0,45,0,45
numeric_cost,61,300,159,61.289,True,numeric-1e-5,44,70,0,45,0,44
numeric_cost,62,300,169,60.119,True,numeric-1e-5,46,76,0,47,0,46
numeric_cost,63,300,151,60.084,True,numeric-1e-5,41,67,0,43,0,41
numeric_cost,64,300,155,60.645,True,numeric-1e-5,44,69,0,42,0,44
numeric_cost,65,300,134,62.299,True,numeric-1e-5,42,60,0,32,0,42
numeric_cost,66,300,160,60.177,True,numeric-1e-5,51,66,0,43,0,51
numeric_cost,67,300,160,60.169,True,numeric-1e-5,44,75,0,41,0,44
numeric_cost,68,300,192,63.711,True,numeric-1e-5,62,77,0,53,0,62
numeric_cost,69,300,147,60.461,True,numeric-1e-5,44,65,0,38,0,44
