method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
numeric_cost,0,300,162,62.193,True,numeric-1e-5,54,73,0,35,0,54
numeric_cost,1,300,175,64.442,True,numeric-1e-5,53,71,0,51,0,53
numeric_cost,2,300,186,62.246,True,numeric-1e-5,54,80,0,52,0,54
numeric_cost,3,300,158,68.832,True,numeric-1e-5,44,66,0,48,0,44
numeric_cost,4,300,158,62.829,True,numeric-1e-5,55,71,0,32,0,55
numeric_cost,5,300,167,60.418,True,numeric-1e-5,54,66,0,47,0,54
numeric_cost,6,300,152,63.024,True,numeric-1e-5,50,62,0,40,0,50
numeric_cost,7,300,141,68.489,True,numeric-1e-5,46,58,0,37,0,46
numeric_cost,8,300,166,66.273,True,numeric-1e-5,52,67,0,47,0,52
numeric_cost,9,300,144,71.635,True,numeric-1e-5,39,64,0,41,0,39
numeric_cost,10,300,154,63.891,True,numeric-1e-5,48,63,0,43,0,48
numeric_cost,11,300,166,63.036,True,numeric-1e-5,55,71,0,40,0,55
numeric_cost,12,300,139,60.875,True,numeric-1e-5,41,61,0,37,0,41
numeric_cost,13,300,163,61.49,True,numeric-1e-5,50,73,0,40,0,50
numeric_cost,14,300,150,63.895,True,numeric-1e-5,46,62,0,42,0,46
numeric_cost,15,300,174,64.342,True,numeric-1e-5,57,68,0,49,0,57
numeric_cost,16,300,156,63.233,True,numeric-1e-5,49,66,0,41,0,49
numeric_cost,17,300,158,61.103,True,numeric-1e-5,57,64,0,37,0,57
numeric_cost,18,300,149,67.85,True,numeric-1e-5,47,61,0,41,0,47
numeric_cost,19,300,171,61.522,True,numeric-1e-5,46,70,0,55,0,46
numeric_cost,20,300,158,74.476,True,numeric-1e-5,48,67,0,43,0,48
numeric_cost,21,300,169,62.205,True,numeric-1e-5,54,78,0,37,0,54
numeric_cost,22,300,153,61.866,True,numeric-1e-5,57,58,0,38,0,57
numeric_cost,23,300,151,68.895,True,numeric-1e-5,46,60,0,45,0,46
numeric_cost,24,300,179,68.821,True,numeric-1e-5,61,70,0,48,0,61
numeric_cost,25,300,188,62.694,True,numeric-1e-5,54,82,0,52,0,54
numeric_cost,26,300,177,64.856,True,numeric-1e-5,59,72,0,46,0,59
numeric_cost,27,300,162,60.425,True,numeric-1e-5,51,70,0,41,0,51
numeric_cost,28,300,194,64.392,True,numeric-1e-5,49,89,0,56,0,49
numeric_cost,29,300,152,60.473,True,numeric-1e-5,45,68,0,39,0,45
numeric_cost,30,300,168,60.965,True,numeric-1e-5,50,67,0,51,0,50
numeric_cost,31,300,160,68.21,True,numeric-1e-5,55,68,0,37,0,55
numeric_cost,32,300,156,65.5,True,numeric-1e-5,50,69,0,37,0,50
numeric_cost,33,300,159,66.129,True,numeric-1e-5,46,70,0,43,0,46
numeric_cost,34,300,172,64.298,True,numeric-1e-5,56,72,0,44,0,56
numeric_cost,35,300,158,63.357,True,numeric-1e-5,43,73,0,42,0,43
numeric_cost,36,300,172,61.694,True,numeric-1e-5,51,72,0,49,0,51
numeric_cost,37,300,169,66.302,True,numeric-1e-5,46,69,0,54,0,46
numeric_cost,38,300,171,62.158,True,numeric-1e-5,45,75,0,51,0,45
numeric_cost,39,300,190,61.42,True,numeric-1e-5,62,82,0,46,0,62
numeric_cost,40,300,155,67.676,True,numeric-1e-5,45,68,0,42,0,45
numeric_cost,41,300,160,61.443,True,numeric-1e-5,57,60,0,43,0,57
numeric_cost,42,300,161,61.359,True,numeric-1e-5,47,71,0,43,0,47
numeric_cost,43,300,130,62.707,True,numeric-1e-5,34,57,0,39,0,34
numeric_cost,44,300,177,65.498,True,numeric-1e-5,49,80,0,48,0,49
numeric_cost,45,300,145,62.259,True,numeric-1e-5,49,60,0,36,0,49
numeric_cost,46,300,182,65.008,True,numeric-1e-5,53,77,0,52,0,53
numeric_cost,47,300,168,62.224,True,numeric-1e-5,56,67,0,45,0,56
numeric_cost,48,300,169,62.289,True,numeric-1e-5,56,68,0,45,0,56
numeric_cost,49,300,133,61.982,True,numeric-1e-5,40,61,0,32,0,40
numeric_cost,50,300,149,63.159,True,numeric-1e-5,44,68,0,37,0,44
numeric_cost,51,300,159,66.231,True,numeric-1e-5,51,66,0,42,0,51
numeric_cost,52,300,160,60.632,True,numeric-1e-5,48,69,0,43,0,48
numeric_cost,53,300,155,65.22,True,numeric-1e-5,43,64,0,48,0,43
numeric_cost,54,300,148,63.596,True,numeric-1e-5,44,66,0,38,0,44
numeric_cost,55,300,151,63.135,True,numeric-1e-5,47,64,0,40,0,47
numeric_cost,56,300,161,65.66,True,numeric-1e-5,50,65,0,46,0,50
numeric_cost,57,300,160,60.807,True,numeric-1e-5,49,67,0,44,0,49
numeric_cost,58,300,181,61.023,True,numeric-1e-5,55,77,0,49,0,55
numeric_cost,59,300,157,60.642,True,numeric-1e-5,52,66,0,39,0,52
numeric_cost,60,300,158,64.276,True,numeric-1e-5,45,64,0,49,0,45
numeric_cost,61,300,165,65.352,True,numeric-1e-5,45,74,0,46,0,45
numeric_cost,62,300,177,60.372,True,numeric-1e-5,48,79,0,50,0,48
numeric_cost,63,300,156,64.171,True,numeric-1e-5,42,68,0,46,0,42
numeric_cost,64,300,161,61.176,True,numeric-1e-5,46,74,0,41,0,46
