method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
exact_cost,0,300,76,30.879,True,exact,29,5,20,22,29,0
exact_cost,1,300,108,31.462,True,exact,37,9,26,36,37,0
exact_cost,2,300,96,30.023,True,exact,36,5,25,30,36,0
exact_cost,3,300,77,31.382,True,exact,27,7,21,22,27,0
exact_cost,4,300,83,30.26,True,exact,28,8,17,30,28,0
exact_cost,5,300,95,31.265,True,exact,36,9,27,23,36,0
exact_cost,6,300,93,31.09,True,exact,36,5,21,31,36,0
exact_cost,7,300,62,30.771,True,exact,26,3,15,18,26,0
exact_cost,8,300,74,30.438,True,exact,28,5,22,19,28,0
exact_cost,9,300,101,31.183,True,exact,37,6,36,22,37,0
exact_cost,10,300,108,30.551,True,exact,39,10,31,28,39,0
exact_cost,11,300,71,30.067,True,exact,28,3,20,20,28,0
exact_cost,12,300,79,30.56,True,exact,27,5,30,17,27,0
exact_cost,13,300,63,30.064,True,exact,23,6,18,16,23,0
exact_cost,14,300,72,30.432,True,exact,25,4,24,19,25,0
exact_cost,15,300,52,30.051,True,exact,22,2,16,12,22,0
exact_cost,16,300,61,30.295,True,exact,23,1,23,14,23,0
exact_cost,17,300,84,30.519,True,exact,31,7,27,19,31,0
exact_cost,18,300,74,30.119,True,exact,26,8,23,17,26,0
exact_cost,19,300,70,30.074,True,exact,24,4,21,21,24,0
exact_cost,20,300,71,30.232,True,exact,28,4,24,15,28,0
exact_cost,21,300,70,30.463,True,exact,27,3,28,12,27,0
exact_cost,22,300,66,30.502,True,exact,28,2,16,20,28,0
exact_cost,23,300,51,30.399,True,exact,21,3,13,14,21,0
exact_cost,24,300,70,30.365,True,exact,24,5,19,22,24,0
exact_cost,25,300,61,30.432,True,exact,26,4,14,17,26,0
exact_cost,26,300,79,31.204,True,exact,26,7,23,23,26,0
exact_cost,27,300,71,30.349,True,exact,26,3,24,18,26,0
exact_cost,28,300,81,30.159,True,exact,31,4,20,26,31,0
exact_cost,29,300,56,30.357,True,exact,21,2,18,15,21,0
exact_cost,30,300,88,30.235,True,exact,33,4,28,23,33,0
exact_cost,31,300,78,30.574,True,exact,31,3,24,20,31,0
exact_cost,32,300,76,30.511,True,exact,26,9,23,18,26,0
exact_cost,33,300,109,30.199,True,exact,41,8,26,34,41,0
exact_cost,34,300,66,30.023,True,exact,25,3,22,16,25,0
exact_cost,35,300,83,30.081,True,exact,30,5,22,26,30,0
exact_cost,36,300,69,30.501,True,exact,26,5,16,22,26,0
exact_cost,37,300,64,30.329,True,exact,23,6,17,18,23,0
