method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
exact_cost,0,300,70,30.142,True,exact,28,1,19,22,28,0
exact_cost,1,300,79,30.063,True,exact,30,5,22,22,30,0
exact_cost,2,300,57,30.103,True,exact,22,1,17,17,22,0
exact_cost,3,300,68,30.014,True,exact,25,2,21,20,25,0
exact_cost,4,300,80,30.05,True,exact,30,4,24,22,30,0
exact_cost,5,300,61,30.129,True,exact,24,2,18,17,24,0
exact_cost,6,300,78,30.136,True,exact,30,3,17,28,30,0
exact_cost,7,300,55,30.067,True,exact,21,5,19,10,21,0
exact_cost,8,300,52,30.062,True,exact,19,3,18,12,19,0
exact_cost,9,300,87,30.086,True,exact,32,5,20,30,32,0
exact_cost,10,300,84,30.176,True,exact,33,2,27,22,33,0
exact_cost,11,300,37,30.031,True,exact,13,3,9,12,13,0
exact_cost,12,300,70,30.094,True,exact,27,3,27,13,27,0
exact_cost,13,300,68,30.149,True,exact,26,0,24,18,26,0
exact_cost,14,300,73,30.163,True,exact,25,6,17,25,25,0
exact_cost,15,300,49,30.014,True,exact,18,3,13,15,18,0
exact_cost,16,300,67,30.11,True,exact,24,8,22,13,24,0
exact_cost,17,300,76,30.014,True,exact,27,4,22,23,27,0
exact_cost,18,300,74,30.013,True,exact,29,1,19,25,29,0
exact_cost,19,300,73,30.03,True,exact,28,3,22,20,28,0
exact_cost,20,300,87,30.181,True,exact,35,7,20,25,35,0
exact_cost,21,300,68,30.15,True,exact,26,1,21,20,26,0
exact_cost,22,300,69,30.147,True,exact,29,2,26,12,29,0
exact_cost,23,300,57,30.089,True,exact,23,2,15,17,23,0
exact_cost,24,300,58,30.02,True,exact,20,3,19,16,20,0
exact_cost,25,300,56,30.118,True,exact,23,2,14,17,23,0
exact_cost,26,300,56,30.047,True,exact,19,2,10,25,19,0
exact_cost,27,300,74,30.157,True,exact,27,7,21,19,27,0
exact_cost,28,300,63,30.01,True,exact,23,3,16,21,23,0
exact_cost,29,300,58,30.133,True,exact,20,4,16,18,20,0
exact_cost,30,300,71,30.001,True,exact,28,4,21,18,28,0
exact_cost,31,300,91,30.157,True,exact,34,7,24,26,34,0
exact_cost,32,300,55,30.081,True,exact,21,3,17,14,21,0
exact_cost,33,300,88,30.01,True,exact,35,4,28,21,35,0
exact_cost,34,300,53,30.109,True,exact,21,3,16,13,21,0
exact_cost,35,300,76,30.035,True,exact,29,3,19,25,29,0
exact_cost,36,300,65,30.043,True,exact,25,2,17,21,25,0
exact_cost,37,300,55,30.105,True,exact,22,2,12,19,22,0
exact_cost,38,300,57,30.111,True,exact,24,1,13,19,24,0
exact_cost,39,300,77,30.055,True,exact,30,4,22,21,30,0
exact_cost,40,300,52,30.038,True,exact,21,3,16,12,21,0
exact_cost,41,300,77,30.06,True,exact,29,4,28,16,29,0
exact_cost,42,300,89,30.065,True,exact,34,3,34,18,34,0
exact_cost,43,300,77,30.169,True,exact,30,3,27,17,30,0
exact_cost,44,300,69,30.162,True,exact,26,4,22,17,26,0
exact_cost,45,300,74,30.108,True,exact,30,1,20,23,30,0
exact_cost,46,300,82,30.135,True,exact,31,7,22,22,31,0
exact_cost,47,300,83,30.004,True,exact,32,2,29,20,32,0
exact_cost,48,300,47,30.021,True,exact,18,1,15,13,18,0
exact_cost,49,300,77,30.081,True,exact,29,2,28,18,29,0
exact_cost,50,300,75,30.178,True,exact,31,2,21,21,31,0
exact_cost,51,300,76,30.092,True,exact,32,0,22,22,32,0
exact_cost,52,300,64,30.032,True,exact,25,4,9,26,25,0
exact_cost,53,300,57,30.055,True,exact,21,2,17,17,21,0
exact_cost,54,300,59,30.005,True,exact,23,4,17,15,23,0
exact_cost,55,300,41,30.04,True,exact,17,0,12,12,17,0
exact_cost,56,300,63,30.048,True,exact,26,3,10,24,26,0
exact_cost,57,300,45,30.002,True,exact,17,4,15,9,17,0
exact_cost,58,300,72,30.076,True,exact,26,3,20,23,26,0
exact_cost,59,300,77,30.122,True,exact,30,3,18,26,30,0
exact_cost,60,300,55,30.037,True,exact,20,3,16,16,20,0
exact_cost,61,300,69,30.069,True,exact,28,3,16,22,28,0
exact_cost,62,300,56,30.004,True,exact,21,3,17,15,21,0
exact_cost,63,300,93,30.143,True,exact,35,3,27,28,35,0
exact_cost,64,300,55,30.006,True,exact,23,2,19,11,23,0
exact_cost,65,300,98,30.007,True,exact,36,6,27,29,36,0
exact_cost,66,300,56,30.012,True,exact,22,4,15,15,22,0
exact_cost,67,300,43,30.048,True,exact,18,3,5,17,18,0
exact_cost,68,300,77,30.017,True,exact,30,2,21,24,30,0
exact_cost,69,300,73,30.098,True,exact,27,6,18,22,27,0
exact_cost,70,300,74,30.087,True,exact,28,3,22,21,28,0
exact_cost,71,300,78,30.136,True,exact,30,2,25,21,30,0
exact_cost,72,300,50,30.034,True,exact,19,4,6,21,19,0
exact_cost,73,300,40,30.036,True,exact,15,1,12,12,15,0
exact_cost,74,300,62,30.05,True,exact,26,1,17,18,26,0
exact_cost,75,300,73,30.04,True,exact,27,2,19,25,27,0
exact_cost,76,300,47,30.073,True,exact,18,3,19,7,18,0
exact_cost,77,300,67,30.099,True,exact,29,3,16,19,29,0
exact_cost,78,300,58,30.087,True,exact,23,3,19,13,23,0
exact_cost,79,300,82,30.125,True,exact,34,2,21,25,34,0
exact_cost,80,300,80,30.019,True,exact,32,3,17,28,32,0
exact_cost,81,300,60,30.085,True,exact,22,4,17,17,22,0
exact_cost,82,300,72,30.111,True,exact,29,1,18,24,29,0
exact_cost,83,300,55,30.044,True,exact,23,3,18,11,23,0
exact_cost,84,300,49,30.013,True,exact,22,2,8,17,22,0
exact_cost,85,300,73,30.102,True,exact,27,3,21,22,27,0
exact_cost,86,300,71,30.043,True,exact,31,0,23,17,31,0
exact_cost,87,300,64,30.037,True,exact,25,4,15,20,25,0
exact_cost,88,300,89,30.003,True,exact,36,4,18,31,36,0
exact_cost,89,300,53,30.063,True,exact,21,3,16,13,21,0
exact_cost,90,300,50,30.045,True,exact,19,1,15,15,19,0
exact_cost,91,300,77,30.118,True,exact,34,2,18,23,34,0
exact_cost,92,300,74,30.08,True,exact,28,3,24,19,28,0
exact_cost,93,300,72,30.12,True,exact,27,5,19,21,27,0
exact_cost,94,300,63,30.025,True,exact,25,2,17,19,25,0
exact_cost,95,300,55,30.016,True,exact,22,2,18,13,22,0
exact_cost,96,300,67,30.036,True,exact,28,3,20,16,28,0
exact_cost,97,300,62,30.08,True,exact,23,3,14,22,23,0
exact_cost,98,300,55,30.012,True,exact,21,1,15,18,21,0
exact_cost,99,300,75,30.13,True,exact,29,0,21,25,29,0
exact_len,0,300,71,30.058,True,exact,35,3,16,17,35,0
exact_len,1,300,75,30.009,True,exact,30,3,19,23,30,0
exact_len,2,300,57,30.023,True,exact,24,2,15,16,24,0
exact_len,3,300,74,30.055,True,exact,29,3,20,22,29,0
exact_len,4,300,89,30.049,True,exact,39,2,25,23,39,0
exact_len,5,300,82,30.094,True,exact,36,2,34,10,36,0
exact_len,6,300,84,30.036,True,exact,39,3,22,20,39,0
exact_len,7,300,55,30.005,True,exact,25,1,15,14,25,0
exact_len,8,300,68,30.019,True,exact,28,4,21,15,28,0
exact_len,9,300,84,30.03,True,exact,37,3,23,21,37,0
exact_len,10,300,80,30.022,True,exact,33,0,24,23,33,0
exact_len,11,300,52,30.08,True,exact,22,0,16,14,22,0
exact_len,12,300,66,30.015,True,exact,26,1,22,17,26,0
exact_len,13,300,55,30.04,True,exact,24,2,14,15,24,0
exact_len,14,300,71,30.056,True,exact,28,2,18,23,28,0
exact_len,15,300,50,30.031,True,exact,21,1,16,12,21,0
exact_len,16,300,67,30.048,True,exact,27,3,22,15,27,0
exact_len,17,300,48,30.028,True,exact,21,2,10,15,21,0
exact_len,18,300,81,30.048,True,exact,30,5,19,27,30,0
exact_len,19,300,62,30.028,True,exact,23,3,18,18,23,0
exact_len,20,300,67,30.046,True,exact,30,3,19,15,30,0
exact_len,21,300,62,30.017,True,exact,25,4,18,15,25,0
exact_len,22,300,63,30.045,True,exact,32,1,12,18,32,0
exact_len,23,300,52,30.046,True,exact,24,2,15,11,24,0
exact_len,24,300,46,30.042,True,exact,19,2,12,13,19,0
exact_len,25,300,59,30.091,True,exact,26,1,17,15,26,0
exact_len,26,300,51,30.017,True,exact,20,4,14,13,20,0
exact_len,27,300,81,30.026,True,exact,34,2,23,22,34,0
exact_len,28,300,61,30.063,True,exact,24,4,13,20,24,0
exact_len,29,300,52,30.007,True,exact,20,4,13,15,20,0
exact_len,30,300,82,30.065,True,exact,35,3,26,18,35,0
exact_len,31,300,76,30.087,True,exact,34,1,21,20,34,0
exact_len,32,300,46,30.022,True,exact,19,2,13,12,19,0
exact_len,33,300,102,30.011,True,exact,45,5,32,20,45,0
exact_len,34,300,64,30.015,True,exact,25,2,19,18,25,0
exact_len,35,300,88,30.002,True,exact,36,4,21,27,36,0
exact_len,36,300,56,30.024,True,exact,23,2,17,14,23,0
exact_len,37,300,47,30.01,True,exact,19,3,9,16,19,0
exact_len,38,300,82,30.061,True,exact,35,2,23,22,35,0
exact_len,39,300,68,30.047,True,exact,28,1,22,17,28,0
exact_len,40,300,83,30.03,True,exact,32,4,21,26,32,0
exact_len,41,300,69,30.087,True,exact,30,3,24,12,30,0
exact_len,42,300,92,30.053,True,exact,39,3,32,18,39,0
exact_len,43,300,83,30.045,True,exact,32,3,23,25,32,0
exact_len,44,300,61,30.072,True,exact,27,1,18,15,27,0
exact_len,45,300,54,30.052,True,exact,21,3,18,12,21,0
exact_len,46,300,70,30.047,True,exact,35,0,20,15,35,0
exact_len,47,300,92,30.051,True,exact,36,4,24,28,36,0
exact_len,48,300,42,30.043,True,exact,17,2,12,11,17,0
exact_len,49,300,57,30.101,True,exact,23,2,17,15,23,0
exact_len,50,300,89,30.073,True,exact,41,2,24,22,41,0
exact_len,51,300,81,30.019,True,exact,35,4,20,22,35,0
exact_len,52,300,64,30.037,True,exact,29,0,15,20,29,0
exact_len,53,300,73,30.061,True,exact,28,3,23,19,28,0
exact_len,54,300,45,30.036,True,exact,20,3,11,11,20,0
exact_len,55,300,36,30.022,True,exact,17,1,9,9,17,0
exact_len,56,300,78,30.08,True,exact,35,3,20,20,35,0
exact_len,57,300,67,30.067,True,exact,30,3,17,17,30,0
exact_len,58,300,73,30.049,True,exact,30,3,15,25,30,0
exact_len,59,300,82,30.005,True,exact,36,1,17,28,36,0
exact_len,60,300,65,30.019,True,exact,30,1,20,14,30,0
exact_len,61,300,57,30.063,True,exact,22,2,22,11,22,0
exact_len,62,300,50,30.005,True,exact,22,1,9,18,22,0
exact_len,63,300,81,30.05,True,exact,36,2,24,19,36,0
exact_len,64,300,55,30.028,True,exact,22,1,21,11,22,0
exact_len,65,300,81,30.033,True,exact,34,4,22,21,34,0
exact_len,66,300,61,30.042,True,exact,25,4,18,14,25,0
exact_len,67,300,59,30.007,True,exact,27,1,18,13,27,0
exact_len,68,300,58,30.024,True,exact,24,5,18,11,24,0
exact_len,69,300,71,30.058,True,exact,28,5,16,22,28,0
exact_len,70,300,88,30.02,True,exact,37,5,29,17,37,0
exact_len,71,300,59,30.056,True,exact,26,1,13,19,26,0
exact_len,72,300,59,30.065,True,exact,24,3,18,14,24,0
exact_len,73,300,52,30.014,True,exact,22,1,13,16,22,0
exact_len,74,300,65,30.03,True,exact,28,3,15,19,28,0
