method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
exact_cost,0,300,72,30.21,True,exact,28,6,19,19,28,0
exact_cost,1,300,108,31.0,True,exact,37,9,26,36,37,0
exact_cost,2,300,96,30.549,True,exact,33,5,28,30,33,0
exact_cost,3,300,74,30.171,True,exact,26,6,20,22,26,0
exact_cost,4,300,87,339.241,True,exact,30,7,18,32,30,0
exact_cost,5,300,131,7382.4,True,exact,46,21,39,25,46,0
exact_cost,6,300,93,31.07,True,exact,36,5,21,31,36,0
exact_cost,7,300,62,30.655,True,exact,26,3,15,18,26,0
exact_cost,8,300,74,30.025,True,exact,28,5,22,19,28,0
exact_cost,9,300,101,30.917,True,exact,37,6,36,22,37,0
exact_cost,10,300,106,30.92,True,exact,39,9,33,25,39,0
exact_cost,11,300,70,30.047,True,exact,27,3,19,21,27,0
exact_cost,12,300,79,30.975,True,exact,27,5,30,17,27,0
exact_cost,13,300,81,30.282,True,exact,27,7,23,24,27,0
exact_cost,14,300,87,339.262,True,exact,30,8,23,26,30,0
exact_cost,15,300,136,7385.444,True,exact,44,29,33,30,44,0
exact_cost,16,300,61,30.067,True,exact,23,1,23,14,23,0
exact_cost,17,300,91,30.082,True,exact,33,7,32,19,33,0
exact_cost,18,300,87,30.777,True,exact,29,9,30,19,29,0
exact_cost,19,300,70,30.127,True,exact,24,4,21,21,24,0
exact_cost,20,300,71,30.135,True,exact,28,4,24,15,28,0
exact_cost,21,300,73,31.174,True,exact,26,4,29,14,26,0
exact_cost,22,300,66,30.083,True,exact,28,2,16,20,28,0
exact_cost,23,300,56,30.698,True,exact,22,4,17,13,22,0
exact_cost,24,300,81,338.702,True,exact,24,11,22,24,24,0
exact_cost,25,300,111,7383.872,True,exact,35,19,23,34,35,0
exact_cost,26,300,81,30.281,True,exact,27,9,22,23,27,0
exact_cost,27,300,75,31.179,True,exact,26,4,23,22,26,0
exact_cost,28,300,98,30.511,True,exact,38,8,28,24,38,0
exact_cost,29,300,58,30.834,True,exact,21,2,18,17,21,0
exact_cost,30,300,109,31.39,True,exact,40,9,30,30,40,0
exact_cost,31,300,80,30.722,True,exact,31,5,25,19,31,0
exact_cost,32,300,78,30.145,True,exact,26,9,26,17,26,0
exact_cost,33,300,105,30.91,True,exact,40,6,23,36,40,0
exact_cost,34,300,74,337.975,True,exact,27,4,25,18,27,0
exact_cost,35,300,147,7386.427,True,exact,46,26,36,39,46,0
exact_cost,36,300,69,30.592,True,exact,26,5,16,22,26,0
exact_cost,37,300,76,30.967,True,exact,29,4,22,21,29,0
exact_cost,38,300,79,30.001,True,exact,28,4,25,22,28,0
exact_cost,39,300,83,30.974,True,exact,30,8,21,24,30,0
exact_cost,40,300,103,30.622,True,exact,36,9,23,35,36,0
exact_cost,41,300,88,30.081,True,exact,31,9,31,17,31,0
exact_cost,42,300,94,30.061,True,exact,35,5,34,20,35,0
exact_cost,43,300,82,30.67,True,exact,32,3,19,28,32,0
exact_cost,44,300,81,337.835,True,exact,29,7,28,17,29,0
exact_cost,45,300,129,7384.021,True,exact,44,20,29,36,44,0
exact_cost,46,300,101,31.526,True,exact,37,9,28,27,37,0
exact_cost,47,300,102,30.376,True,exact,38,6,36,22,38,0
exact_cost,48,300,82,31.29,True,exact,31,7,24,20,31,0
exact_cost,49,300,79,30.981,True,exact,31,4,25,19,31,0
exact_cost,50,300,113,30.935,True,exact,43,12,31,27,43,0
exact_cost,51,300,95,30.355,True,exact,40,10,17,28,40,0
exact_cost,52,300,98,30.914,True,exact,34,13,30,21,34,0
exact_cost,53,300,60,30.805,True,exact,22,6,14,18,22,0
exact_cost,54,300,86,335.334,True,exact,30,9,24,23,30,0
exact_cost,55,300,71,7384.698,True,exact,25,11,17,18,25,0
exact_cost,56,300,81,30.914,True,exact,31,6,20,24,31,0
exact_cost,57,300,69,30.41,True,exact,25,4,17,23,25,0
exact_cost,58,300,80,31.357,True,exact,30,6,26,18,30,0
exact_cost,59,300,90,31.545,True,exact,34,9,19,28,34,0
exact_cost,60,300,81,31.016,True,exact,29,5,22,25,29,0
exact_cost,61,300,92,30.834,True,exact,32,9,23,28,32,0
exact_cost,62,300,75,30.998,True,exact,29,7,22,17,29,0
exact_cost,63,300,100,30.088,True,exact,38,7,22,33,38,0
exact_cost,64,300,62,31.035,True,exact,25,5,17,15,25,0
exact_cost,65,300,92,30.045,True,exact,32,8,29,23,32,0
exact_cost,66,300,80,30.581,True,exact,27,8,17,28,27,0
exact_cost,67,300,69,30.961,True,exact,26,5,26,12,26,0
exact_cost,68,300,81,30.212,True,exact,27,9,22,23,27,0
exact_cost,69,300,88,30.684,True,exact,31,8,24,25,31,0
exact_cost,70,300,92,30.27,True,exact,34,8,24,26,34,0
exact_cost,71,300,72,30.079,True,exact,27,4,19,22,27,0
exact_cost,72,300,69,30.928,True,exact,23,5,21,20,23,0
exact_cost,73,300,64,30.501,True,exact,23,7,14,20,23,0
exact_cost,74,300,73,30.551,True,exact,28,7,15,23,28,0
exact_cost,75,300,87,30.658,True,exact,31,8,21,27,31,0
exact_cost,76,300,65,30.382,True,exact,23,4,22,16,23,0
exact_cost,77,300,79,30.509,True,exact,33,3,20,23,33,0
exact_cost,78,300,76,30.712,True,exact,26,6,29,15,26,0
exact_cost,79,300,91,30.721,True,exact,34,8,30,19,34,0
exact_cost,80,300,90,30.119,True,exact,30,10,22,28,30,0
exact_cost,81,300,72,30.492,True,exact,26,5,17,24,26,0
exact_cost,82,300,91,30.071,True,exact,35,6,28,22,35,0
exact_cost,83,300,63,30.239,True,exact,25,3,20,15,25,0
exact_cost,84,300,73,30.144,True,exact,25,6,16,26,25,0
exact_cost,85,300,87,31.325,True,exact,31,9,24,23,31,0
exact_cost,86,300,88,30.618,True,exact,32,8,28,20,32,0
exact_cost,87,300,90,31.175,True,exact,33,9,24,24,33,0
exact_cost,88,300,110,31.13,True,exact,38,10,33,29,38,0
exact_cost,89,300,69,30.528,True,exact,27,7,19,16,27,0
exact_cost,90,300,52,30.159,True,exact,18,4,16,14,18,0
exact_cost,91,300,94,30.97,True,exact,34,9,30,21,34,0
exact_cost,92,300,83,30.461,True,exact,31,3,21,28,31,0
exact_cost,93,300,81,31.154,True,exact,32,4,23,22,32,0
exact_cost,94,300,78,30.485,True,exact,28,4,24,22,28,0
exact_cost,95,300,68,30.505,True,exact,28,2,17,21,28,0
exact_cost,96,300,62,30.16,True,exact,23,5,20,14,23,0
exact_cost,97,300,74,30.246,True,exact,27,3,21,23,27,0
exact_cost,98,300,78,30.39,True,exact,27,4,25,22,27,0
exact_cost,99,300,85,30.656,True,exact,32,4,29,20,32,0
exact_len,0,300,113,1144.821,True,exact,48,9,29,27,48,0
exact_len,1,300,113,1871.254,True,exact,40,13,24,36,40,0
exact_len,2,300,139,9952.741,True,exact,48,16,38,37,48,0
exact_len,3,300,110,30.789,True,exact,45,6,31,28,45,0
exact_len,4,300,87,30.346,True,exact,34,4,25,24,34,0
exact_len,5,300,97,30.15,True,exact,39,7,25,26,39,0
exact_len,6,300,90,30.179,True,exact,38,6,21,25,38,0
exact_len,7,300,56,30.216,True,exact,24,3,16,13,24,0
exact_len,8,300,74,30.173,True,exact,34,3,18,19,34,0
exact_len,9,300,111,30.473,True,exact,43,7,35,26,43,0
exact_len,10,300,114,1145.717,True,exact,42,9,31,32,42,0
exact_len,11,300,82,1871.77,True,exact,32,7,21,22,32,0
exact_len,12,300,122,9950.167,True,exact,42,22,22,36,42,0
exact_len,13,300,70,30.493,True,exact,28,5,19,18,28,0
exact_len,14,300,70,30.23,True,exact,26,5,11,28,26,0
exact_len,15,300,85,30.381,True,exact,37,6,21,21,37,0
exact_len,16,300,69,30.376,True,exact,30,4,20,15,30,0
exact_len,17,300,74,30.457,True,exact,30,6,18,20,30,0
exact_len,18,300,67,30.23,True,exact,24,4,18,21,24,0
exact_len,19,300,65,30.167,True,exact,23,3,20,19,23,0
exact_len,20,300,101,1145.029,True,exact,44,10,23,24,44,0
exact_len,21,300,113,1871.227,True,exact,46,17,26,24,46,0
exact_len,22,300,103,9951.828,True,exact,35,19,21,28,35,0
exact_len,23,300,74,30.585,True,exact,33,4,15,22,33,0
exact_len,24,300,67,30.501,True,exact,27,3,21,16,27,0
exact_len,25,300,62,30.132,True,exact,27,4,10,21,27,0
exact_len,26,300,65,30.014,True,exact,29,3,16,17,29,0
exact_len,27,300,85,30.25,True,exact,34,6,23,22,34,0
exact_len,28,300,75,30.048,True,exact,30,6,22,17,30,0
exact_len,29,300,59,30.144,True,exact,24,3,19,13,24,0
exact_len,30,300,109,1146.509,True,exact,43,11,28,27,43,0
exact_len,31,300,105,1871.776,True,exact,42,13,27,23,42,0
exact_len,32,300,128,9949.537,True,exact,37,32,30,29,37,0
exact_len,33,300,102,30.609,True,exact,42,9,30,21,42,0
exact_len,34,300,61,30.203,True,exact,27,3,13,18,27,0
exact_len,35,300,112,30.515,True,exact,44,8,23,37,44,0
exact_len,36,300,66,30.088,True,exact,28,4,18,16,28,0
exact_len,37,300,88,30.678,True,exact,42,3,22,21,42,0
exact_len,38,300,64,30.318,True,exact,26,4,18,16,26,0
exact_len,39,300,77,30.559,True,exact,33,5,14,25,33,0
exact_len,40,300,104,1147.462,True,exact,39,13,18,34,39,0
exact_len,41,300,109,1871.204,True,exact,42,11,33,23,42,0
exact_len,42,300,132,9950.045,True,exact,47,24,30,31,47,0
exact_len,43,300,82,30.404,True,exact,36,1,26,19,36,0
exact_len,44,300,76,30.243,True,exact,30,6,24,16,30,0
exact_len,45,300,91,30.133,True,exact,37,5,28,21,37,0
exact_len,46,300,88,30.156,True,exact,39,5,19,25,39,0
exact_len,47,300,96,30.277,True,exact,39,7,20,30,39,0
exact_len,48,300,57,30.061,True,exact,26,4,18,9,26,0
exact_len,49,300,79,30.511,True,exact,35,4,20,20,35,0
exact_len,50,300,131,1147.279,True,exact,51,12,37,31,51,0
exact_len,51,300,152,1870.438,True,exact,59,19,44,30,59,0
exact_len,52,300,119,9950.352,True,exact,42,23,24,30,42,0
