method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
exact_cost,0,300,74,30.95,True,exact,28,5,19,22,28,0
exact_cost,1,300,108,31.101,True,exact,37,9,26,36,37,0
exact_cost,2,300,96,30.499,True,exact,33,5,28,30,33,0
exact_cost,3,300,74,30.115,True,exact,26,6,20,22,26,0
exact_cost,4,300,81,30.307,True,exact,28,8,17,28,28,0
exact_cost,5,300,92,30.462,True,exact,35,10,24,23,35,0
exact_cost,6,300,93,31.13,True,exact,36,5,21,31,36,0
exact_cost,7,300,62,30.896,True,exact,26,3,15,18,26,0
exact_cost,8,300,74,31.246,True,exact,28,5,22,19,28,0
exact_cost,9,300,101,30.185,True,exact,37,6,36,22,37,0
exact_cost,10,300,106,30.741,True,exact,39,9,33,25,39,0
exact_cost,11,300,70,31.311,True,exact,27,3,19,21,27,0
exact_cost,12,300,79,30.452,True,exact,27,5,30,17,27,0
exact_cost,13,300,81,30.707,True,exact,27,7,23,24,27,0
exact_cost,14,300,79,30.545,True,exact,29,6,22,22,29,0
exact_cost,15,300,70,30.268,True,exact,27,6,21,16,27,0
exact_cost,16,300,61,30.544,True,exact,23,1,23,14,23,0
exact_cost,17,300,91,30.804,True,exact,33,7,32,19,33,0
exact_cost,18,300,87,31.117,True,exact,29,9,30,19,29,0
exact_cost,19,300,70,30.882,True,exact,24,4,21,21,24,0
exact_cost,20,300,71,31.017,True,exact,28,4,24,15,28,0
exact_cost,21,300,77,30.709,True,exact,28,6,30,13,28,0
exact_cost,22,300,66,30.224,True,exact,28,2,16,20,28,0
exact_cost,23,300,56,30.18,True,exact,22,4,17,13,22,0
exact_cost,24,300,78,30.369,True,exact,25,9,25,19,25,0
exact_cost,25,300,78,31.102,True,exact,30,7,15,26,30,0
exact_cost,26,300,75,30.88,True,exact,26,6,22,21,26,0
exact_cost,27,300,75,30.273,True,exact,26,4,23,22,26,0
exact_cost,28,300,100,30.467,True,exact,38,10,27,25,38,0
exact_cost,29,300,58,31.012,True,exact,21,2,18,17,21,0
exact_cost,30,300,109,31.395,True,exact,40,9,30,30,40,0
exact_cost,31,300,82,30.878,True,exact,31,5,27,19,31,0
exact_cost,32,300,78,30.533,True,exact,26,9,26,17,26,0
exact_cost,33,300,105,30.851,True,exact,40,6,23,36,40,0
exact_cost,34,300,70,30.102,True,exact,27,4,21,18,27,0
exact_cost,35,300,107,32.165,True,exact,38,7,28,34,38,0
exact_cost,36,300,69,30.18,True,exact,26,5,16,22,26,0
exact_cost,37,300,76,30.675,True,exact,29,4,22,21,29,0
