method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
numeric_cost,0,300,162,60.891,True,numeric-1e-5,54,72,0,36,0,54
numeric_cost,1,300,180,61.954,True,numeric-1e-5,54,76,0,50,0,54
numeric_cost,2,300,183,60.501,True,numeric-1e-5,55,79,0,49,0,55
numeric_cost,3,300,165,60.326,True,numeric-1e-5,47,70,0,48,0,47
numeric_cost,4,300,159,61.315,True,numeric-1e-5,57,66,0,36,0,57
numeric_cost,5,300,163,60.296,True,numeric-1e-5,54,65,0,44,0,54
numeric_cost,6,300,147,60.227,True,numeric-1e-5,51,60,0,36,0,51
numeric_cost,7,300,135,60.314,True,numeric-1e-5,44,56,0,35,0,44
numeric_cost,8,300,164,60.514,True,numeric-1e-5,52,65,0,47,0,52
numeric_cost,9,300,141,60.428,True,numeric-1e-5,39,62,0,40,0,39
numeric_cost,10,300,155,60.851,True,numeric-1e-5,49,66,0,40,0,49
numeric_cost,11,300,168,60.869,True,numeric-1e-5,56,69,0,43,0,56
numeric_cost,12,300,135,61.888,True,numeric-1e-5,41,55,0,39,0,41
numeric_cost,13,300,167,60.61,True,numeric-1e-5,50,72,0,45,0,50
numeric_cost,14,300,153,61.004,True,numeric-1e-5,47,65,0,41,0,47
numeric_cost,15,300,171,60.615,True,numeric-1e-5,58,67,0,46,0,58
numeric_cost,16,300,158,60.381,True,numeric-1e-5,49,67,0,42,0,49
numeric_cost,17,300,157,63.465,True,numeric-1e-5,57,65,0,35,0,57
numeric_cost,18,300,146,60.664,True,numeric-1e-5,47,61,0,38,0,47
numeric_cost,19,300,168,60.582,True,numeric-1e-5,43,70,0,55,0,43
numeric_cost,20,300,155,60.383,True,numeric-1e-5,47,67,0,41,0,47
numeric_cost,21,300,170,62.985,True,numeric-1e-5,53,75,0,42,0,53
numeric_cost,22,300,156,60.832,True,numeric-1e-5,60,58,0,38,0,60
numeric_cost,23,300,154,61.882,True,numeric-1e-5,47,63,0,44,0,47
numeric_cost,24,300,173,61.13,True,numeric-1e-5,60,70,0,43,0,60
numeric_cost,25,300,191,62.888,True,numeric-1e-5,56,81,0,54,0,56
numeric_cost,26,300,174,61.541,True,numeric-1e-5,59,70,0,45,0,59
numeric_cost,27,300,157,61.243,True,numeric-1e-5,52,68,0,37,0,52
numeric_cost,28,300,185,60.285,True,numeric-1e-5,48,85,0,52,0,48
numeric_cost,29,300,147,60.556,True,numeric-1e-5,44,65,0,38,0,44
numeric_cost,30,300,172,61.572,True,numeric-1e-5,49,73,0,50,0,49
numeric_cost,31,300,162,65.408,True,numeric-1e-5,56,70,0,36,0,56
numeric_cost,32,300,157,60.353,True,numeric-1e-5,51,67,0,39,0,51
numeric_cost,33,300,163,60.743,True,numeric-1e-5,47,68,0,48,0,47
numeric_cost,34,300,164,61.697,True,numeric-1e-5,54,69,0,41,0,54
numeric_cost,35,300,156,61.064,True,numeric-1e-5,44,72,0,40,0,44
numeric_cost,36,300,164,60.151,True,numeric-1e-5,51,67,0,46,0,51
numeric_cost,37,300,171,60.894,True,numeric-1e-5,45,74,0,52,0,45
numeric_cost,38,300,166,60.549,True,numeric-1e-5,43,77,0,46,0,43
numeric_cost,39,300,193,61.323,True,numeric-1e-5,62,84,0,47,0,62
numeric_cost,40,300,155,60.517,True,numeric-1e-5,45,70,0,40,0,45
numeric_cost,41,300,167,61.104,True,numeric-1e-5,57,65,0,45,0,57
numeric_cost,42,300,161,60.752,True,numeric-1e-5,50,70,0,41,0,50
numeric_cost,43,300,131,61.439,True,numeric-1e-5,34,62,0,35,0,34
numeric_cost,44,300,171,60.65,True,numeric-1e-5,44,76,0,51,0,44
numeric_cost,45,300,144,60.198,True,numeric-1e-5,45,63,0,36,0,45
numeric_cost,46,300,177,63.288,True,numeric-1e-5,53,76,0,48,0,53
numeric_cost,47,300,171,61.286,True,numeric-1e-5,54,69,0,48,0,54
numeric_cost,48,300,171,62.673,True,numeric-1e-5,56,73,0,42,0,56
numeric_cost,49,300,138,60.3,True,numeric-1e-5,40,66,0,32,0,40
numeric_cost,50,300,151,60.135,True,numeric-1e-5,43,67,0,41,0,43
numeric_cost,51,300,160,60.74,True,numeric-1e-5,54,65,0,41,0,54
numeric_cost,52,300,159,62.101,True,numeric-1e-5,48,66,0,45,0,48
numeric_cost,53,300,157,62.029,True,numeric-1e-5,44,70,0,43,0,44
numeric_cost,54,300,146,63.172,True,numeric-1e-5,43,65,0,38,0,43
numeric_cost,55,300,148,60.603,True,numeric-1e-5,47,60,0,41,0,47
numeric_cost,56,300,156,62.759,True,numeric-1e-5,51,62,0,43,0,51
numeric_cost,57,300,165,62.063,True,numeric-1e-5,52,73,0,40,0,52
numeric_cost,58,300,183,62.082,True,numeric-1e-5,57,75,0,51,0,57
numeric_cost,59,300,154,60.65,True,numeric-1e-5,52,67,0,35,0,52
numeric_cost,60,300,152,60.781,True,numeric-1e-5,44,63,0,45,0,44
numeric_cost,61,300,161,60.223,True,numeric-1e-5,46,73,0,42,0,46
numeric_cost,62,300,175,60.28,True,numeric-1e-5,48,79,0,48,0,48
numeric_cost,63,300,155,61.083,True,numeric-1e-5,42,68,0,45,0,42
numeric_cost,64,300,164,60.181,True,numeric-1e-5,46,77,0,41,0,46
numeric_cost,65,300,135,61.001,True,numeric-1e-5,42,60,0,33,0,42
numeric_cost,66,300,168,60.828,True,numeric-1e-5,50,71,0,47,0,50
numeric_cost,67,300,164,61.103,True,numeric-1e-5,44,77,0,43,0,44
numeric_cost,68,300,190,60.491,True,numeric-1e-5,63,75,0,52,0,63
numeric_cost,69,300,150,60.205,True,numeric-1e-5,46,64,0,40,0,46
numeric_cost,70,300,168,61.527,True,numeric-1e-5,57,68,0,43,0,57
numeric_cost,71,300,169,60.504,True,numeric-1e-5,49,73,0,47,0,49
numeric_cost,72,300,158,60.505,True,numeric-1e-5,46,72,0,40,0,46
numeric_cost,73,300,164,60.691,True,numeric-1e-5,52,67,0,45,0,52
numeric_cost,74,300,166,61.009,True,numeric-1e-5,58,69,0,39,0,58
numeric_cost,75,300,155,60.475,True,numeric-1e-5,49,68,0,38,0,49
numeric_cost,76,300,163,60.788,True,numeric-1e-5,51,65,0,47,0,51
numeric_cost,77,300,151,60.777,True,numeric-1e-5,45,71,0,35,0,45
numeric_cost,78,300,147,60.715,True,numeric-1e-5,40,62,0,45,0,40
numeric_cost,79,300,168,60.52,True,numeric-1e-5,51,72,0,45,0,51
numeric_cost,80,300,161,60.547,True,numeric-1e-5,51,73,0,37,0,51
numeric_cost,81,300,172,60.218,True,numeric-1e-5,60,72,0,40,0,60
numeric_cost,82,300,163,60.428,True,numeric-1e-5,52,69,0,42,0,52
numeric_cost,83,300,158,60.578,True,numeric-1e-5,44,65,0,49,0,44
numeric_cost,84,300,141,60.166,True,numeric-1e-5,46,64,0,31,0,46
numeric_cost,85,300,165,60.718,True,numeric-1e-5,52,68,0,45,0,52
numeric_cost,86,300,180,62.612,True,numeric-1e-5,59,76,0,45,0,59
numeric_cost,87,300,151,61.145,True,numeric-1e-5,46,72,0,33,0,46
numeric_cost,88,300,156,60.584,True,numeric-1e-5,49,68,0,39,0,49
numeric_cost,89,300,158,60.752,True,numeric-1e-5,50,66,0,42,0,50
numeric_cost,90,300,166,60.817,True,numeric-1e-5,51,72,0,43,0,51
numeric_cost,91,300,159,60.529,True,numeric-1e-5,47,65,0,47,0,47
numeric_cost,92,300,143,60.866,True,numeric-1e-5,50,58,0,35,0,50
numeric_cost,93,300,149,60.113,True,numeric-1e-5,45,65,0,39,0,45
numeric_cost,94,300,176,60.878,True,numeric-1e-5,58,69,0,49,0,58
numeric_cost,95,300,191,60.189,True,numeric-1e-5,58,79,0,54,0,58
