method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
numeric_cost,0,300,162,61.861,True,numeric-1e-5,54,72,0,36,0,54
numeric_cost,1,300,181,60.157,True,numeric-1e-5,54,76,0,51,0,54
numeric_cost,2,300,183,60.855,True,numeric-1e-5,55,79,0,49,0,55
numeric_cost,3,300,165,63.635,True,numeric-1e-5,47,70,0,48,0,47
numeric_cost,4,300,163,61.775,True,numeric-1e-5,58,67,0,38,0,58
numeric_cost,5,300,163,62.148,True,numeric-1e-5,54,65,0,44,0,54
numeric_cost,6,300,147,60.141,True,numeric-1e-5,51,60,0,36,0,51
numeric_cost,7,300,136,61.066,True,numeric-1e-5,44,56,0,36,0,44
numeric_cost,8,300,164,63.58,True,numeric-1e-5,52,65,0,47,0,52
numeric_cost,9,300,142,64.245,True,numeric-1e-5,39,63,0,40,0,39
numeric_cost,10,300,155,61.494,True,numeric-1e-5,49,66,0,40,0,49
numeric_cost,11,300,168,60.95,True,numeric-1e-5,56,69,0,43,0,56
numeric_cost,12,300,135,60.109,True,numeric-1e-5,41,55,0,39,0,41
numeric_cost,13,300,166,62.121,True,numeric-1e-5,50,72,0,44,0,50
numeric_cost,14,300,153,62.015,True,numeric-1e-5,47,65,0,41,0,47
numeric_cost,15,300,171,60.402,True,numeric-1e-5,58,67,0,46,0,58
numeric_cost,16,300,158,61.17,True,numeric-1e-5,49,67,0,42,0,49
numeric_cost,17,300,157,62.2,True,numeric-1e-5,57,65,0,35,0,57
numeric_cost,18,300,146,60.654,True,numeric-1e-5,47,61,0,38,0,47
numeric_cost,19,300,168,61.014,True,numeric-1e-5,43,70,0,55,0,43
numeric_cost,20,300,155,60.89,True,numeric-1e-5,47,67,0,41,0,47
numeric_cost,21,300,170,61.664,True,numeric-1e-5,53,75,0,42,0,53
numeric_cost,22,300,156,63.272,True,numeric-1e-5,60,58,0,38,0,60
numeric_cost,23,300,152,61.002,True,numeric-1e-5,46,61,0,45,0,46
numeric_cost,24,300,173,61.466,True,numeric-1e-5,61,69,0,43,0,61
numeric_cost,25,300,191,63.703,True,numeric-1e-5,56,81,0,54,0,56
numeric_cost,26,300,174,60.183,True,numeric-1e-5,59,70,0,45,0,59
numeric_cost,27,300,157,61.985,True,numeric-1e-5,52,68,0,37,0,52
numeric_cost,28,300,184,60.594,True,numeric-1e-5,49,84,0,51,0,49
numeric_cost,29,300,147,60.689,True,numeric-1e-5,44,65,0,38,0,44
numeric_cost,30,300,166,60.811,True,numeric-1e-5,46,73,0,47,0,46
numeric_cost,31,300,162,61.088,True,numeric-1e-5,56,70,0,36,0,56
numeric_cost,32,300,155,60.537,True,numeric-1e-5,51,67,0,37,0,51
numeric_cost,33,300,161,60.558,True,numeric-1e-5,47,67,0,47,0,47
numeric_cost,34,300,163,60.207,True,numeric-1e-5,54,68,0,41,0,54
numeric_cost,35,300,155,60.242,True,numeric-1e-5,44,71,0,40,0,44
numeric_cost,36,300,161,60.581,True,numeric-1e-5,51,64,0,46,0,51
numeric_cost,37,300,171,60.688,True,numeric-1e-5,45,74,0,52,0,45
numeric_cost,38,300,166,62.659,True,numeric-1e-5,43,77,0,46,0,43
numeric_cost,39,300,188,61.207,True,numeric-1e-5,61,82,0,45,0,61
numeric_cost,40,300,155,60.949,True,numeric-1e-5,45,70,0,40,0,45
numeric_cost,41,300,165,60.297,True,numeric-1e-5,56,65,0,44,0,56
numeric_cost,42,300,161,60.324,True,numeric-1e-5,50,70,0,41,0,50
numeric_cost,43,300,131,60.763,True,numeric-1e-5,34,62,0,35,0,34
numeric_cost,44,300,162,63.908,True,numeric-1e-5,42,72,0,48,0,42
numeric_cost,45,300,144,60.271,True,numeric-1e-5,45,63,0,36,0,45
numeric_cost,46,300,177,61.105,True,numeric-1e-5,53,76,0,48,0,53
numeric_cost,47,300,171,60.573,True,numeric-1e-5,54,69,0,48,0,54
numeric_cost,48,300,170,62.228,True,numeric-1e-5,56,72,0,42,0,56
numeric_cost,49,300,138,60.122,True,numeric-1e-5,40,66,0,32,0,40
numeric_cost,50,300,150,61.01,True,numeric-1e-5,42,68,0,40,0,42
numeric_cost,51,300,160,60.585,True,numeric-1e-5,54,65,0,41,0,54
numeric_cost,52,300,159,60.558,True,numeric-1e-5,48,66,0,45,0,48
numeric_cost,53,300,157,60.985,True,numeric-1e-5,44,70,0,43,0,44
numeric_cost,54,300,146,60.818,True,numeric-1e-5,43,65,0,38,0,43
numeric_cost,55,300,148,60.537,True,numeric-1e-5,47,60,0,41,0,47
numeric_cost,56,300,156,62.155,True,numeric-1e-5,51,62,0,43,0,51
numeric_cost,57,300,165,60.313,True,numeric-1e-5,52,73,0,40,0,52
numeric_cost,58,300,183,60.366,True,numeric-1e-5,57,75,0,51,0,57
numeric_cost,59,300,154,60.671,True,numeric-1e-5,52,67,0,35,0,52
numeric_cost,60,300,152,60.449,True,numeric-1e-5,44,63,0,45,0,44
numeric_cost,61,300,161,60.179,True,numeric-1e-5,46,73,0,42,0,46
numeric_cost,62,300,174,60.819,True,numeric-1e-5,48,79,0,47,0,48
numeric_cost,63,300,155,60.795,True,numeric-1e-5,42,68,0,45,0,42
numeric_cost,64,300,164,60.605,True,numeric-1e-5,46,77,0,41,0,46
numeric_cost,65,300,135,60.79,True,numeric-1e-5,42,60,0,33,0,42
numeric_cost,66,300,168,61.966,True,numeric-1e-5,50,71,0,47,0,50
numeric_cost,67,300,164,60.2,True,numeric-1e-5,44,77,0,43,0,44
numeric_cost,68,300,190,60.901,True,numeric-1e-5,63,75,0,52,0,63
numeric_cost,69,300,146,62.0,True,numeric-1e-5,45,61,0,40,0,45
numeric_cost,70,300,168,60.113,True,numeric-1e-5,57,68,0,43,0,57
numeric_cost,71,300,169,60.786,True,numeric-1e-5,49,73,0,47,0,49
numeric_cost,72,300,158,60.722,True,numeric-1e-5,46,72,0,40,0,46
numeric_cost,73,300,164,61.007,True,numeric-1e-5,52,67,0,45,0,52
numeric_cost,74,300,166,60.774,True,numeric-1e-5,58,69,0,39,0,58
numeric_cost,75,300,155,60.833,True,numeric-1e-5,49,68,0,38,0,49
numeric_cost,76,300,163,60.117,True,numeric-1e-5,50,66,0,47,0,50
numeric_cost,77,300,151,61.535,True,numeric-1e-5,45,71,0,35,0,45
numeric_cost,78,300,145,60.655,True,numeric-1e-5,40,60,0,45,0,40
numeric_cost,79,300,168,60.603,True,numeric-1e-5,51,72,0,45,0,51
numeric_cost,80,300,160,60.227,True,numeric-1e-5,50,73,0,37,0,50
numeric_cost,81,300,172,61.827,True,numeric-1e-5,60,72,0,40,0,60
numeric_cost,82,300,164,61.027,True,numeric-1e-5,52,69,0,43,0,52
numeric_cost,83,300,156,61.108,True,numeric-1e-5,44,65,0,47,0,44
numeric_cost,84,300,137,61.191,True,numeric-1e-5,45,61,0,31,0,45
numeric_cost,85,300,162,60.169,True,numeric-1e-5,52,68,0,42,0,52
numeric_cost,86,300,180,60.701,True,numeric-1e-5,59,76,0,45,0,59
numeric_cost,87,300,151,61.092,True,numeric-1e-5,46,72,0,33,0,46
numeric_cost,88,300,156,60.236,True,numeric-1e-5,49,68,0,39,0,49
numeric_cost,89,300,158,60.286,True,numeric-1e-5,50,66,0,42,0,50
numeric_cost,90,300,166,60.673,True,numeric-1e-5,52,71,0,43,0,52
numeric_cost,91,300,159,60.243,True,numeric-1e-5,47,65,0,47,0,47
numeric_cost,92,300,143,61.588,True,numeric-1e-5,50,58,0,35,0,50
numeric_cost,93,300,148,60.66,True,numeric-1e-5,45,64,0,39,0,45
numeric_cost,94,300,176,60.548,True,numeric-1e-5,58,69,0,49,0,58
numeric_cost,95,300,191,61.24,True,numeric-1e-5,58,79,0,54,0,58
numeric_cost,96,300,163,60.551,True,numeric-1e-5,49,76,0,38,0,49
numeric_cost,97,300,154,60.118,True,numeric-1e-5,48,63,0,43,0,48
numeric_cost,98,300,153,61.125,True,numeric-1e-5,48,69,0,36,0,48
numeric_cost,99,300,154,60.533,True,numeric-1e-5,51,66,0,37,0,51
numeric_len,0,300,162,60.266,True,numeric-1e-5,55,71,0,36,0,55
numeric_len,1,300,177,60.668,True,numeric-1e-5,54,75,0,48,0,54
numeric_len,2,300,179,61.258,True,numeric-1e-5,53,77,0,49,0,53
numeric_len,3,300,156,60.474,True,numeric-1e-5,43,66,0,47,0,43
numeric_len,4,300,158,60.354,True,numeric-1e-5,57,66,0,35,0,57
numeric_len,5,300,157,61.449,True,numeric-1e-5,53,63,0,41,0,53
numeric_len,6,300,145,60.835,True,numeric-1e-5,49,58,0,38,0,49
numeric_len,7,300,132,60.148,True,numeric-1e-5,46,54,0,32,0,46
numeric_len,8,300,157,61.951,True,numeric-1e-5,51,64,0,42,0,51
numeric_len,9,300,136,60.405,True,numeric-1e-5,40,58,0,38,0,40
numeric_len,10,300,152,60.426,True,numeric-1e-5,48,62,0,42,0,48
numeric_len,11,300,167,60.759,True,numeric-1e-5,58,69,0,40,0,58
numeric_len,12,300,131,60.829,True,numeric-1e-5,40,58,0,33,0,40
numeric_len,13,300,161,61.244,True,numeric-1e-5,51,71,0,39,0,51
numeric_len,14,300,158,60.22,True,numeric-1e-5,47,67,0,44,0,47
numeric_len,15,300,173,60.214,True,numeric-1e-5,60,67,0,46,0,60
numeric_len,16,300,156,60.264,True,numeric-1e-5,50,64,0,42,0,50
numeric_len,17,300,158,60.597,True,numeric-1e-5,59,64,0,35,0,59
numeric_len,18,300,151,60.28,True,numeric-1e-5,47,64,0,40,0,47
numeric_len,19,300,166,60.412,True,numeric-1e-5,46,70,0,50,0,46
numeric_len,20,300,152,60.582,True,numeric-1e-5,47,65,0,40,0,47
numeric_len,21,300,162,60.805,True,numeric-1e-5,53,73,0,36,0,53
numeric_len,22,300,156,61.841,True,numeric-1e-5,60,58,0,38,0,60
numeric_len,23,300,149,60.166,True,numeric-1e-5,46,60,0,43,0,46
numeric_len,24,300,175,60.326,True,numeric-1e-5,58,70,0,47,0,58
numeric_len,25,300,195,60.632,True,numeric-1e-5,57,83,0,55,0,57
