method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
exact_cost,0,300,29,14.997,True,exact,11,2,8,8,11,0
exact_cost,1,300,12,14.719,True,exact,4,0,5,3,4,0
exact_cost,2,300,22,15.364,True,exact,10,0,6,6,10,0
exact_cost,3,300,58,15.498,True,exact,22,4,11,21,22,0
exact_cost,4,300,13,15.514,True,exact,4,0,4,5,4,0
exact_cost,5,300,31,14.349,True,exact,11,2,10,8,11,0
exact_cost,6,300,24,14.924,True,exact,9,1,5,9,9,0
exact_cost,7,300,19,15.167,True,exact,8,1,3,7,8,0
exact_cost,8,300,43,16.054,True,exact,16,2,11,14,16,0
exact_cost,9,300,27,15.591,True,exact,10,2,10,5,10,0
exact_cost,10,300,32,15.722,True,exact,12,1,5,14,12,0
exact_cost,11,300,31,15.28,True,exact,10,2,8,11,10,0
exact_cost,12,300,11,15.737,True,exact,4,0,3,4,4,0
exact_cost,13,300,17,15.504,True,exact,6,0,4,7,6,0
exact_cost,14,300,39,15.197,True,exact,14,1,13,11,14,0
exact_cost,15,300,17,15.195,True,exact,6,0,6,5,6,0
