method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
numeric,0,300,35,29.65,True,numeric-1e-5,14,16,0,5,0,14
numeric,1,300,41,30.218,True,numeric-1e-5,14,19,0,8,0,14
numeric,2,300,29,29.987,True,numeric-1e-5,8,14,0,7,0,8
numeric,3,300,59,30.175,True,numeric-1e-5,22,28,0,9,0,22
numeric,4,300,57,29.935,True,numeric-1e-5,21,29,0,7,0,21
numeric,5,300,29,29.882,True,numeric-1e-5,13,13,0,3,0,13
numeric,6,300,16,30.314,True,numeric-1e-5,7,7,0,2,0,7
numeric,7,300,11,29.845,True,numeric-1e-5,4,6,0,1,0,4
exact_len,0,300,44,5.462,True,exact,18,19,0,7,0,18
exact_len,1,300,60,5.504,True,exact,23,29,0,8,0,23
exact_len,2,300,33,5.492,True,exact,11,16,0,6,0,11
exact_len,3,300,34,5.408,True,exact,12,15,0,7,0,12
exact_len,4,300,63,5.404,True,exact,22,32,0,9,0,22
exact_len,5,300,29,5.332,True,exact,13,13,0,3,0,13
exact_len,6,300,27,5.27,True,exact,9,14,0,4,0,9
exact_len,7,300,32,5.285,True,exact,14,13,0,5,0,14
exact_cost,0,300,61,5.408,True,exact,22,30,0,9,0,22
exact_cost,1,300,63,5.347,True,exact,24,31,0,8,0,24
exact_cost,2,300,33,5.274,True,exact,11,16,0,6,0,11
exact_cost,3,300,48,5.307,True,exact,17,22,0,9,0,17
exact_cost,4,300,63,5.349,True,exact,22,32,0,9,0,22
exact_cost,5,300,52,5.314,True,exact,20,24,0,8,0,20
exact_cost,6,300,40,5.297,True,exact,14,19,0,7,0,14
exact_cost,7,300,24,5.283,True,exact,9,11,0,4,0,9
