seed,method,input_len,prepass_len,prepass_removed,final_len,passes,replacements,runtime_s,exact_ok,counts
1,baseline,300,300,0,75,74,103,30.175,1,"{""RX"": 5, ""RY"": 18, ""RZ"": 22, ""RXX"": 30}"
1,prepass_dag,300,288,12,81,66,97,30.397,1,"{""RX"": 5, ""RY"": 17, ""RXX"": 33, ""RZ"": 26}"
2,baseline,300,300,0,90,68,98,30.108,1,"{""RXX"": 40, ""RY"": 24, ""RZ"": 25, ""RX"": 1}"
2,prepass_dag,300,278,22,65,94,102,30.047,1,"{""RX"": 3, ""RXX"": 29, ""RY"": 17, ""RZ"": 16}"
3,baseline,300,300,0,78,86,108,30.254,1,"{""RX"": 1, ""RZ"": 20, ""RXX"": 34, ""RY"": 23}"
3,prepass_dag,300,280,20,80,76,97,30.117,1,"{""RY"": 24, ""RZ"": 21, ""RXX"": 33, ""RX"": 2}"
4,baseline,300,300,0,81,74,108,30.044,1,"{""RZ"": 20, ""RX"": 6, ""RXX"": 31, ""RY"": 24}"
4,prepass_dag,300,284,16,61,95,114,30.249,1,"{""RX"": 2, ""RY"": 14, ""RXX"": 25, ""RZ"": 20}"
5,baseline,300,300,0,73,86,115,30.054,1,"{""RX"": 3, ""RZ"": 21, ""RXX"": 32, ""RY"": 17}"
5,prepass_dag,300,288,12,86,72,100,30.070,1,"{""RY"": 20, ""RXX"": 38, ""RZ"": 26, ""RX"": 2}"
6,baseline,300,300,0,77,89,111,30.104,1,"{""RX"": 5, ""RY"": 15, ""RXX"": 34, ""RZ"": 23}"
6,prepass_dag,300,282,18,76,86,106,30.204,1,"{""RXX"": 36, ""RY"": 18, ""RZ"": 21, ""RX"": 1}"
7,baseline,300,300,0,53,135,108,30.007,1,"{""RX"": 3, ""RZ"": 14, ""RXX"": 22, ""RY"": 14}"
7,prepass_dag,300,284,16,56,83,107,30.171,1,"{""RY"": 16, ""RXX"": 26, ""RZ"": 12, ""RX"": 2}"
8,baseline,300,300,0,51,102,120,30.231,1,"{""RY"": 19, ""RX"": 2, ""RXX"": 23, ""RZ"": 7}"
8,prepass_dag,300,292,8,60,113,111,30.057,1,"{""RY"": 21, ""RZ"": 13, ""RXX"": 23, ""RX"": 3}"
9,baseline,300,300,0,102,76,97,30.087,1,"{""RX"": 8, ""RY"": 23, ""RXX"": 44, ""RZ"": 27}"
9,prepass_dag,300,278,22,88,77,97,30.010,1,"{""RY"": 31, ""RXX"": 38, ""RZ"": 16, ""RX"": 3}"
10,baseline,300,300,0,98,70,103,30.552,1,"{""RZ"": 33, ""RX"": 3, ""RY"": 21, ""RXX"": 41}"
10,prepass_dag,300,294,6,95,81,102,30.227,1,"{""RY"": 26, ""RXX"": 44, ""RZ"": 25}"
11,baseline,300,300,0,51,116,116,30.075,1,"{""RX"": 4, ""RY"": 16, ""RXX"": 21, ""RZ"": 10}"
11,prepass_dag,300,288,12,50,115,108,30.163,1,"{""RY"": 13, ""RXX"": 22, ""RZ"": 14, ""RX"": 1}"
12,baseline,300,300,0,60,102,115,30.024,1,"{""RY"": 16, ""RX"": 6, ""RXX"": 20, ""RZ"": 18}"
12,prepass_dag,300,288,12,58,104,118,30.218,1,"{""RX"": 6, ""RZ"": 16, ""RXX"": 21, ""RY"": 15}"
13,baseline,300,300,0,57,113,112,30.135,1,"{""RZ"": 11, ""RY"": 18, ""RXX"": 26, ""RX"": 2}"
13,prepass_dag,300,288,12,63,107,111,30.316,1,"{""RX"": 2, ""RY"": 19, ""RXX"": 26, ""RZ"": 16}"
14,baseline,300,300,0,65,103,110,30.097,1,"{""RY"": 12, ""RZ"": 26, ""RXX"": 26, ""RX"": 1}"
14,prepass_dag,300,272,28,68,97,101,30.024,1,"{""RZ"": 20, ""RX"": 4, ""RY"": 17, ""RXX"": 27}"
15,baseline,300,300,0,55,98,126,30.267,1,"{""RY"": 12, ""RX"": 3, ""RXX"": 24, ""RZ"": 16}"
15,prepass_dag,300,288,12,67,91,117,30.175,1,"{""RX"": 2, ""RY"": 16, ""RZ"": 20, ""RXX"": 29}"
16,baseline,300,300,0,67,100,107,30.427,1,"{""RY"": 21, ""RX"": 3, ""RZ"": 14, ""RXX"": 29}"
16,prepass_dag,300,284,16,72,84,97,30.322,1,"{""RX"": 4, ""RY"": 16, ""RXX"": 34, ""RZ"": 18}"
17,baseline,300,300,0,62,111,118,30.025,1,"{""RX"": 3, ""RY"": 14, ""RXX"": 28, ""RZ"": 17}"
17,prepass_dag,300,278,22,53,113,114,30.052,1,"{""RZ"": 16, ""RY"": 13, ""RXX"": 22, ""RX"": 2}"
18,baseline,300,300,0,63,96,125,30.504,1,"{""RX"": 2, ""RY"": 21, ""RZ"": 16, ""RXX"": 24}"
18,prepass_dag,300,280,20,61,99,117,30.058,1,"{""RY"": 21, ""RZ"": 12, ""RX"": 3, ""RXX"": 25}"
19,baseline,300,300,0,50,115,118,30.179,1,"{""RZ"": 14, ""RXX"": 21, ""RY"": 15}"
19,prepass_dag,300,286,14,43,144,118,30.003,1,"{""RX"": 2, ""RXX"": 15, ""RY"": 13, ""RZ"": 13}"
20,baseline,300,300,0,63,101,125,30.092,1,"{""RXX"": 26, ""RZ"": 16, ""RX"": 4, ""RY"": 17}"
20,prepass_dag,300,272,28,39,126,123,30.006,1,"{""RXX"": 18, ""RZ"": 11, ""RY"": 10}"
