seed,method,input_len,prepass_len,prepass_removed,final_len,passes,replacements,runtime_s,exact_ok,counts
1,baseline,300,300,0,168,49,67,30.009,1,"{""RX"": 71, ""RZ"": 45, ""CZ"": 52}"
1,prepass_dag,300,240,60,175,38,34,30.157,1,"{""RX"": 77, ""CZ"": 53, ""RZ"": 45}"
2,baseline,300,300,0,177,51,65,30.052,1,"{""RX"": 75, ""CZ"": 54, ""RZ"": 48}"
2,prepass_dag,300,233,67,173,43,38,30.251,1,"{""CZ"": 54, ""RX"": 73, ""RZ"": 46}"
3,baseline,300,300,0,153,53,77,30.156,1,"{""RZ"": 43, ""RX"": 64, ""CZ"": 46}"
3,prepass_dag,300,218,82,151,49,39,30.192,1,"{""RX"": 64, ""RZ"": 42, ""CZ"": 45}"
4,baseline,300,300,0,152,54,86,30.243,1,"{""RX"": 67, ""RZ"": 29, ""CZ"": 56}"
4,prepass_dag,300,223,77,155,48,38,30.703,1,"{""RX"": 66, ""RZ"": 32, ""CZ"": 57}"
5,baseline,300,300,0,156,54,78,30.736,1,"{""CZ"": 52, ""RZ"": 40, ""RX"": 64}"
5,prepass_dag,300,221,79,149,54,44,30.785,1,"{""RZ"": 34, ""CZ"": 53, ""RX"": 62}"
6,baseline,300,300,0,143,64,89,30.046,1,"{""CZ"": 49, ""RX"": 59, ""RZ"": 35}"
6,prepass_dag,300,221,79,141,73,47,30.193,1,"{""RZ"": 35, ""CZ"": 49, ""RX"": 57}"
7,baseline,300,300,0,125,61,89,30.303,1,"{""RX"": 53, ""RZ"": 30, ""CZ"": 42}"
7,prepass_dag,300,229,71,128,47,55,30.141,1,"{""RX"": 56, ""RZ"": 29, ""CZ"": 43}"
8,baseline,300,300,0,153,47,81,30.070,1,"{""RX"": 64, ""RZ"": 39, ""CZ"": 50}"
8,prepass_dag,300,241,59,153,53,53,30.049,1,"{""RX"": 62, ""RZ"": 41, ""CZ"": 50}"
9,baseline,300,300,0,135,71,87,30.874,1,"{""RZ"": 36, ""RX"": 60, ""CZ"": 39}"
9,prepass_dag,300,222,78,133,60,48,30.474,1,"{""RZ"": 35, ""RX"": 59, ""CZ"": 39}"
10,baseline,300,300,0,147,59,81,30.097,1,"{""RZ"": 40, ""RX"": 60, ""CZ"": 47}"
10,prepass_dag,300,210,90,146,55,33,30.622,1,"{""RZ"": 35, ""RX"": 64, ""CZ"": 47}"
11,baseline,300,300,0,164,44,78,30.044,1,"{""RX"": 69, ""RZ"": 39, ""CZ"": 56}"
11,prepass_dag,300,227,73,164,48,38,30.449,1,"{""CZ"": 55, ""RZ"": 39, ""RX"": 70}"
12,baseline,300,300,0,128,62,92,30.152,1,"{""CZ"": 40, ""RZ"": 31, ""RX"": 57}"
12,prepass_dag,300,217,83,125,65,54,30.425,1,"{""CZ"": 38, ""RZ"": 32, ""RX"": 55}"
13,baseline,300,300,0,163,45,68,30.840,1,"{""RX"": 73, ""RZ"": 41, ""CZ"": 49}"
13,prepass_dag,300,222,78,164,43,33,30.470,1,"{""RX"": 73, ""CZ"": 52, ""RZ"": 39}"
14,baseline,300,300,0,148,60,89,30.111,1,"{""RX"": 63, ""RZ"": 39, ""CZ"": 46}"
14,prepass_dag,300,235,65,145,53,52,30.135,1,"{""RX"": 62, ""CZ"": 47, ""RZ"": 36}"
15,baseline,300,300,0,170,52,69,30.889,1,"{""RX"": 69, ""RZ"": 41, ""CZ"": 60}"
15,prepass_dag,300,220,80,172,46,33,30.577,1,"{""RX"": 71, ""CZ"": 61, ""RZ"": 40}"
16,baseline,300,300,0,150,52,83,30.181,1,"{""RZ"": 36, ""RX"": 65, ""CZ"": 49}"
16,prepass_dag,300,237,63,152,58,46,30.870,1,"{""RZ"": 38, ""RX"": 64, ""CZ"": 50}"
17,baseline,300,300,0,150,51,85,30.194,1,"{""CZ"": 55, ""RX"": 61, ""RZ"": 34}"
17,prepass_dag,300,229,71,150,47,45,30.208,1,"{""CZ"": 55, ""RX"": 60, ""RZ"": 35}"
18,baseline,300,300,0,141,54,89,30.113,1,"{""RZ"": 36, ""RX"": 58, ""CZ"": 47}"
18,prepass_dag,300,222,78,144,63,45,30.486,1,"{""RZ"": 40, ""RX"": 57, ""CZ"": 47}"
19,baseline,300,300,0,161,57,73,30.260,1,"{""CZ"": 43, ""RZ"": 49, ""RX"": 69}"
19,prepass_dag,300,240,60,162,47,43,30.646,1,"{""RZ"": 49, ""CZ"": 43, ""RX"": 70}"
20,baseline,300,300,0,151,47,74,30.081,1,"{""RZ"": 39, ""RX"": 65, ""CZ"": 47}"
20,prepass_dag,300,228,72,149,53,41,30.594,1,"{""RZ"": 36, ""RX"": 66, ""CZ"": 47}"
