method,seed,start,end,runtime_sec
V1-RS (ours),0,100,17,12.0
V2-DR (ours),0,100,49,0.374
exact (ours),0,100,19,12.001
V1-RS (ours),1,100,32,12.0
V2-DR (ours),1,100,60,0.201
exact (ours),1,100,29,12.024
V1-RS (ours),2,100,33,12.0
V2-DR (ours),2,100,52,0.225
exact (ours),2,100,28,12.021
V1-RS (ours),3,100,44,12.0
V2-DR (ours),3,100,53,0.44
exact (ours),3,100,36,12.036
V1-RS (ours),4,100,36,12.0
V2-DR (ours),4,100,67,0.261
exact (ours),4,100,26,12.012
V2-DR (ours),5,100,56,0.193
exact (ours),5,100,32,12.008
V2-DR (ours),6,100,60,0.626
exact (ours),6,100,35,12.011
V2-DR (ours),7,100,42,0.209
exact (ours),7,100,20,12.008
V2-DR (ours),8,100,44,0.362
exact (ours),8,100,25,12.001
V2-DR (ours),9,100,71,0.229
exact (ours),9,100,43,12.005
V2-DR (ours),10,100,42,0.588
exact (ours),10,100,36,12.018
V2-DR (ours),11,100,46,0.389
exact (ours),11,100,20,12.008
V2-DR (ours),12,100,36,0.28
exact (ours),12,100,31,12.006
V2-DR (ours),13,100,62,0.302
exact (ours),13,100,26,12.016
V2-DR (ours),14,100,40,0.312
exact (ours),14,100,24,12.006
