seed,method,input_len,prepass_len,prepass_removed,final_len,passes,replacements,runtime_s,exact_ok,counts
1,baseline,300,300,0,97,57,84,10.011,1,"{""RY"": 23, ""RZ"": 27, ""RXX"": 40, ""RX"": 7}"
1,prepass,300,288,12,105,53,75,10.033,1,"{""RY"": 31, ""RZ"": 26, ""RXX"": 41, ""RX"": 7}"
1,prepass_batched,300,288,12,101,139,77,10.021,1,"{""RY"": 29, ""RZ"": 26, ""RXX"": 40, ""RX"": 6}"
2,baseline,300,300,0,102,51,79,10.166,1,"{""RXX"": 39, ""RY"": 25, ""RZ"": 28, ""RX"": 10}"
2,prepass,300,278,22,99,64,76,10.072,1,"{""RY"": 28, ""RX"": 6, ""RXX"": 41, ""RZ"": 24}"
2,prepass_batched,300,278,22,93,151,79,10.002,1,"{""RXX"": 41, ""RY"": 27, ""RZ"": 23, ""RX"": 2}"
3,baseline,300,300,0,104,55,79,10.001,1,"{""RX"": 4, ""RXX"": 44, ""RZ"": 27, ""RY"": 29}"
3,prepass,300,280,20,108,53,65,10.006,1,"{""RZ"": 33, ""RX"": 10, ""RXX"": 39, ""RY"": 26}"
3,prepass_batched,300,280,20,106,130,66,10.019,1,"{""RY"": 25, ""RX"": 8, ""RXX"": 39, ""RZ"": 34}"
4,baseline,300,300,0,99,62,85,10.043,1,"{""RZ"": 33, ""RXX"": 41, ""RY"": 22, ""RX"": 3}"
4,prepass,300,284,16,99,54,79,10.250,1,"{""RX"": 8, ""RZ"": 26, ""RXX"": 37, ""RY"": 28}"
4,prepass_batched,300,284,16,92,143,82,10.020,1,"{""RX"": 4, ""RZ"": 27, ""RXX"": 39, ""RY"": 22}"
5,baseline,300,300,0,95,60,90,10.162,1,"{""RY"": 27, ""RXX"": 41, ""RZ"": 22, ""RX"": 5}"
5,prepass,300,288,12,91,60,86,10.048,1,"{""RY"": 31, ""RXX"": 40, ""RZ"": 19, ""RX"": 1}"
5,prepass_batched,300,288,12,91,148,86,10.073,1,"{""RY"": 31, ""RXX"": 40, ""RZ"": 19, ""RX"": 1}"
6,baseline,300,300,0,92,57,84,10.065,1,"{""RXX"": 38, ""RX"": 8, ""RY"": 19, ""RZ"": 27}"
6,prepass,300,282,18,98,59,75,10.080,1,"{""RXX"": 39, ""RX"": 7, ""RY"": 15, ""RZ"": 37}"
6,prepass_batched,300,282,18,96,147,76,10.016,1,"{""RXX"": 39, ""RX"": 7, ""RY"": 15, ""RZ"": 35}"
7,baseline,300,300,0,62,79,97,10.036,1,"{""RY"": 16, ""RXX"": 25, ""RZ"": 18, ""RX"": 3}"
7,prepass,300,284,16,62,78,91,10.019,1,"{""RY"": 16, ""RXX"": 25, ""RZ"": 18, ""RX"": 3}"
7,prepass_batched,300,284,16,62,191,91,10.011,1,"{""RY"": 16, ""RXX"": 25, ""RZ"": 18, ""RX"": 3}"
8,baseline,300,300,0,75,78,90,10.099,1,"{""RZ"": 18, ""RX"": 6, ""RXX"": 31, ""RY"": 20}"
8,prepass,300,292,8,75,71,86,10.103,1,"{""RZ"": 17, ""RXX"": 32, ""RY"": 22, ""RX"": 4}"
8,prepass_batched,300,292,8,75,166,86,10.065,1,"{""RY"": 22, ""RZ"": 17, ""RXX"": 32, ""RX"": 4}"
