method,seed,end,replacements,iterations,lookups_skipped,lookups_attempted,ok,secs
sampling,0,168,75,43112,-1,-1,True,10.04851222038269
sampling_gated,0,183,65,1750,426,1324,True,10.06609296798706
sweep,0,161,-1,-1,-1,-1,True,10.438166618347168
sampling,1,178,74,40593,-1,-1,True,10.061075448989868
sampling_gated,1,191,65,3329,1239,2090,True,10.060053825378418
sweep,1,170,-1,-1,-1,-1,True,10.094670534133911
sampling,2,183,71,38631,-1,-1,True,10.040751934051514
sampling_gated,2,200,56,3342,865,2477,True,10.062485694885254
sweep,2,177,-1,-1,-1,-1,True,10.108287572860718
sampling,3,158,83,47412,-1,-1,True,10.039960384368896
sampling_gated,3,166,77,3813,1096,2717,True,10.039206504821777
sweep,3,153,-1,-1,-1,-1,True,10.143308401107788
sampling,4,164,78,47044,-1,-1,True,10.039721488952637
sampling_gated,4,170,72,3779,1244,2535,True,10.057950496673584
sweep,4,152,-1,-1,-1,-1,True,10.142374753952026
sampling,5,158,88,48206,-1,-1,True,10.04021167755127
sampling_gated,5,167,79,3712,1095,2617,True,10.085342168807983
sweep,5,156,-1,-1,-1,-1,True,10.697349309921265
