method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
bqskit_l2,0,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,1,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,2,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,3,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,4,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,5,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,6,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,7,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,8,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,9,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,10,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,11,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,12,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,13,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,14,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,15,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,16,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,17,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,18,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,19,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,20,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,21,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,22,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,23,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,24,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,25,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,26,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
