method,seed,start,end,runtime_s,ok,verifier,twq,RX,RY,RZ,RXX,CZ
bqskit_l2,0,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,1,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,2,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,3,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,4,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,5,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,6,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l2,7,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l3,0,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l3,1,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l3,2,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l3,3,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l3,4,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l3,5,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l3,6,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l3,7,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l4,0,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l4,1,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l4,2,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l4,3,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l4,4,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l4,5,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l4,6,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
bqskit_l4,7,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
exact_cost,0,300,88,10.566,True,exact,32,9,20,27,32,0
exact_cost,1,300,109,10.029,True,exact,38,11,26,34,38,0
exact_cost,2,300,106,10.225,True,exact,37,8,30,31,37,0
exact_cost,3,300,97,10.234,True,exact,33,10,26,28,33,0
exact_cost,4,300,87,10.175,True,exact,30,7,18,32,30,0
exact_cost,5,300,105,10.591,True,exact,37,13,33,22,37,0
exact_cost,6,300,99,10.22,True,exact,36,10,22,31,36,0
exact_cost,7,300,69,10.372,True,exact,25,10,19,15,25,0
exact_len,0,300,105,10.125,True,exact,45,6,32,22,45,0
exact_len,1,300,106,10.064,True,exact,40,9,23,34,40,0
exact_len,2,300,109,10.21,True,exact,44,7,31,27,44,0
exact_len,3,300,114,10.463,True,exact,47,6,31,30,47,0
exact_len,4,300,95,10.542,True,exact,37,7,25,26,37,0
exact_len,5,300,101,10.01,True,exact,41,6,26,28,41,0
exact_len,6,300,93,10.386,True,exact,41,5,22,25,41,0
exact_len,7,300,62,10.184,True,exact,24,6,17,15,24,0
qiskit_l1,0,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l1,1,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l1,2,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l1,3,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l1,4,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l1,5,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l1,6,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l1,7,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l2,0,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l2,1,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l2,2,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l2,3,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l2,4,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l2,5,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l2,6,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l2,7,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l3,0,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l3,1,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l3,2,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l3,3,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l3,4,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l3,5,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l3,6,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
qiskit_l3,7,300,-1,0.0,False,unavailable,-1,0,0,0,0,0
