seed,start,end,runtime_s,ok,depth_in,depth_out,RX,RY,RZ,RXX,CZ,passes,reds
0,300,30,20.065,True,149,20,2,10,7,11,0,44,140
1,300,12,20.092,True,145,9,0,5,3,4,0,140,133
2,300,15,20.123,True,158,11,1,5,3,6,0,95,138
3,300,50,20.085,True,163,35,0,14,16,20,0,40,127
4,300,11,20.061,True,151,7,0,5,2,4,0,276,132
5,300,12,20.001,True,150,8,1,4,3,4,0,369,138
6,300,10,20.026,True,160,9,0,4,1,5,0,318,141
7,300,13,20.009,True,159,9,1,3,5,4,0,270,137
8,300,10,20.004,True,153,8,0,2,4,4,0,302,146
9,300,26,20.079,True,163,18,1,8,7,10,0,161,130
10,300,14,20.058,True,151,10,0,5,4,5,0,276,152
11,300,12,20.024,True,164,8,0,3,4,5,0,283,142
12,300,11,20.05,True,150,8,0,3,4,4,0,370,142
13,300,14,20.033,True,145,9,1,3,5,5,0,283,137
14,300,11,20.008,True,165,7,1,2,4,4,0,357,141
15,300,27,20.125,True,158,20,0,8,7,12,0,137,132
16,300,16,20.047,True,159,14,2,4,4,6,0,256,126
17,300,11,20.018,True,142,8,1,1,5,4,0,329,130
18,300,13,20.056,True,149,8,2,2,4,5,0,331,147
19,300,26,20.003,True,152,18,0,6,9,11,0,155,139
20,300,12,20.015,True,153,9,0,3,5,4,0,423,143
21,300,15,20.008,True,149,11,1,1,7,6,0,355,129
22,300,9,20.022,True,155,7,2,2,1,4,0,752,138
23,300,11,20.007,True,145,8,1,6,1,3,0,228,132
