seed,start,end,runtime_s,ok,depth_in,depth_out,RX,RY,RZ,RXX,CZ,passes,reds
0,300,153,20.353,True,166,106,65,0,44,0,44,30,69
1,300,184,20.566,True,180,121,77,0,52,0,55,25,58
2,300,154,20.038,True,159,95,67,0,48,0,39,27,70
3,300,169,21.352,True,168,104,75,0,47,0,47,22,132
4,300,159,20.792,True,183,105,76,0,41,0,42,27,74
5,300,131,20.097,True,184,96,59,0,32,0,40,29,84
6,300,141,20.189,True,170,97,63,0,39,0,39,25,74
7,300,121,20.075,True,177,79,50,0,35,0,36,34,86
8,300,165,20.007,True,169,111,70,0,51,0,44,23,69
9,300,150,21.556,True,162,93,74,0,42,0,34,21,77
10,300,124,20.244,True,180,77,54,0,38,0,32,26,75
11,300,160,21.622,True,170,109,71,0,40,0,49,26,73
12,300,126,20.123,True,163,91,60,0,34,0,32,22,69
13,300,145,20.077,True,162,89,67,0,40,0,38,24,74
14,300,148,20.186,True,175,110,66,0,36,0,46,15,79
15,300,173,20.236,True,189,114,78,0,45,0,50,14,65
16,300,135,20.009,True,173,87,61,0,37,0,37,28,77
17,300,163,20.948,True,178,103,72,0,47,0,44,20,65
18,300,137,20.13,True,176,95,60,0,39,0,38,25,73
19,300,154,20.182,True,171,88,65,0,53,0,36,22,72
20,300,141,20.167,True,171,83,63,0,46,0,32,25,68
21,300,157,20.376,True,175,100,72,0,46,0,39,21,74
22,300,176,20.103,True,173,119,78,0,45,0,53,22,62
23,300,129,20.207,True,167,82,60,0,37,0,32,34,76
